Step 104 | Time: 1.733s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 105 | Time: 1.750s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 106 | Time: 1.767s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 107 | Time: 1.783s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 108 | Time: 1.800s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 109 | Time: 1.817s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 110 | Time: 1.833s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 111 | Time: 1.850s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 112 | Time: 1.867s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 113 | Time: 1.883s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 114 | Time: 1.900s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 115 | Time: 1.917s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 116 | Time: 1.933s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 117 | Time: 1.950s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 118 | Time: 1.967s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 119 | Time: 1.983s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 120 | Time: 2.000s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 121 | Time: 2.017s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 122 | Time: 2.033s | Pos: (636.3, 363.4) | Vel: (-219.7, 204.3) | Orient: -1.83 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 123 | Time: 2.050s | Pos: (632.7, 366.8) | Vel: (-219.7, 204.3) | Orient: -1.86 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 124 | Time: 2.067s | Pos: (629.0, 370.2) | Vel: (-219.7, 204.3) | Orient: -1.90 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 125 | Time: 2.083s | Pos: (625.4, 373.6) | Vel: (-219.7, 204.3) | Orient: -1.93 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 126 | Time: 2.100s | Pos: (621.7, 377.0) | Vel: (-219.7, 204.3) | Orient: -1.96 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 127 | Time: 2.117s | Pos: (618.0, 380.4) | Vel: (-219.7, 204.3) | Orient: -2.00 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 128 | Time: 2.133s | Pos: (614.4, 383.8) | Vel: (-219.7, 204.3) | Orient: -2.03 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 129 | Time: 2.150s | Pos: (610.7, 387.2) | Vel: (-219.7, 204.3) | Orient: -2.06 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 130 | Time: 2.167s | Pos: (607.0, 390.6) | Vel: (-219.7, 204.3) | Orient: -2.10 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 131 | Time: 2.183s | Pos: (603.4, 394.0) | Vel: (-219.7, 204.3) | Orient: -2.13 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 132 | Time: 2.200s | Pos: (599.7, 397.4) | Vel: (-219.7, 204.3) | Orient: -2.16 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
