Step 47 | Time: 0.783s | Pos: (650.7, 332.3) | Vel: (69.9, -71.5) | Orient: 1.14 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 200.0 | Colliding: False | NearestObstacle: 104.0
Step 48 | Time: 0.800s | Pos: (651.9, 331.1) | Vel: (71.0, -70.4) | Orient: 1.10 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 198.5 | Colliding: False | NearestObstacle: 103.6
Step 49 | Time: 0.817s | Pos: (653.1, 329.9) | Vel: (72.0, -69.4) | Orient: 1.07 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 197.1 | Colliding: False | NearestObstacle: 103.2
Step 50 | Time: 0.833s | Pos: (654.3, 328.8) | Vel: (73.0, -68.3) | Orient: 1.04 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 195.6 | Colliding: False | NearestObstacle: 102.8
Step 51 | Time: 0.850s | Pos: (655.6, 327.7) | Vel: (74.0, -67.3) | Orient: 1.00 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 194.1 | Colliding: False | NearestObstacle: 102.4
Step 52 | Time: 0.867s | Pos: (656.8, 326.6) | Vel: (74.9, -66.3) | Orient: 0.97 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 192.6 | Colliding: False | NearestObstacle: 102.0
Step 53 | Time: 0.883s | Pos: (658.1, 325.5) | Vel: (75.7, -65.3) | Orient: 0.94 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 191.2 | Colliding: False | NearestObstacle: 101.6
Step 54 | Time: 0.900s | Pos: (659.4, 324.4) | Vel: (76.5, -64.4) | Orient: 0.90 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 189.7 | Colliding: False | NearestObstacle: 101.2
Step 55 | Time: 0.917s | Pos: (660.6, 323.4) | Vel: (77.3, -63.4) | Orient: 0.87 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 188.2 | Colliding: False | NearestObstacle: 100.8
Step 56 | Time: 0.933s | Pos: (661.9, 322.3) | Vel: (78.0, -62.5) | Orient: 0.84 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 186.6 | Colliding: False | NearestObstacle: 100.4
Step 57 | Time: 0.950s | Pos: (663.3, 321.3) | Vel: (78.7, -61.7) | Orient: 0.80 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 185.1 | Colliding: False | NearestObstacle: 100.0
Step 58 | Time: 0.967s | Pos: (664.6, 320.3) | Vel: (79.4, -60.8) | Orient: 0.77 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 183.6 | Colliding: False | NearestObstacle: 99.6
Step 59 | Time: 0.983s | Pos: (665.9, 319.3) | Vel: (80.0, -60.0) | Orient: 0.74 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 182.1 | Colliding: False | NearestObstacle: 99.2
Step 60 | Time: 1.000s | Pos: (667.3, 318.3) | Vel: (80.6, -59.2) | Orient: 0.70 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 180.6 | Colliding: False | NearestObstacle: 98.8
Step 61 | Time: 1.017s | Pos: (668.6, 317.3) | Vel: (81.1, -58.5) | Orient: 0.67 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 179.0 | Colliding: False | NearestObstacle: 98.4
Step 62 | Time: 1.033s | Pos: (670.0, 316.4) | Vel: (81.6, -57.7) | Orient: 0.64 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 177.5 | Colliding: False | NearestObstacle: 98.1
Step 63 | Time: 1.050s | Pos: (671.3, 315.4) | Vel: (82.1, -57.0) | Orient: 0.60 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 176.0 | Colliding: False | NearestObstacle: 97.7
Step 64 | Time: 1.067s | Pos: (672.7, 314.5) | Vel: (82.6, -56.4) | Orient: 0.57 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 174.4 | Colliding: False | NearestObstacle: 97.4
Step 65 | Time: 1.083s | Pos: (674.1, 313.5) | Vel: (83.0, -55.7) | Orient: 0.54 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 172.9 | Colliding: False | NearestObstacle: 97.0
Step 66 | Time: 1.100s | Pos: (675.5, 312.6) | Vel: (83.4, -55.1) | Orient: 0.50 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 171.3 | Colliding: False | NearestObstacle: 96.7
Step 67 | Time: 1.117s | Pos: (676.9, 311.7) | Vel: (83.8, -54.5) | Orient: 0.47 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 169.8 | Colliding: False | NearestObstacle: 96.4
Step 68 | Time: 1.133s | Pos: (678.3, 310.8) | Vel: (84.2, -53.9) | Orient: 0.44 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 168.2 | Colliding: False | NearestObstacle: 96.0
Step 69 | Time: 1.150s | Pos: (679.7, 309.9) | Vel: (84.6, -53.4) | Orient: 0.40 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 166.7 | Colliding: False | NearestObstacle: 95.7
Step 70 | Time: 1.167s | Pos: (681.1, 309.0) | Vel: (84.9, -52.9) | Orient: 0.37 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 165.1 | Colliding: False | NearestObstacle: 95.4
