Step 44 | Time: 0.733s | Pos: (626.4, 338.5) | Vel: (28.7, 0.4) | Orient: -0.55 rad | AngVel: -0.04 | Speed: 28.7 | DistToTarget: 406.3 | Colliding: False | NearestObstacle: 101.3
Step 45 | Time: 0.750s | Pos: (627.0, 338.6) | Vel: (33.9, 5.8) | Orient: -0.55 rad | AngVel: -0.05 | Speed: 34.4 | DistToTarget: 405.8 | Colliding: False | NearestObstacle: 101.1
Step 46 | Time: 0.767s | Pos: (627.7, 338.8) | Vel: (40.0, 10.9) | Orient: -0.55 rad | AngVel: -0.07 | Speed: 41.5 | DistToTarget: 405.4 | Colliding: False | NearestObstacle: 100.8
Step 47 | Time: 0.783s | Pos: (628.5, 339.0) | Vel: (47.1, 15.5) | Orient: -0.55 rad | AngVel: -0.09 | Speed: 49.6 | DistToTarget: 404.8 | Colliding: False | NearestObstacle: 100.6
Step 48 | Time: 0.800s | Pos: (629.4, 339.4) | Vel: (54.9, 19.8) | Orient: -0.56 rad | AngVel: -0.11 | Speed: 58.3 | DistToTarget: 404.2 | Colliding: False | NearestObstacle: 100.4
Step 49 | Time: 0.817s | Pos: (630.4, 339.8) | Vel: (63.4, 23.7) | Orient: -0.56 rad | AngVel: -0.13 | Speed: 67.7 | DistToTarget: 403.6 | Colliding: False | NearestObstacle: 100.2
Step 50 | Time: 0.833s | Pos: (631.6, 340.2) | Vel: (72.4, 27.2) | Orient: -0.56 rad | AngVel: -0.15 | Speed: 77.4 | DistToTarget: 402.8 | Colliding: False | NearestObstacle: 99.9
Step 51 | Time: 0.850s | Pos: (633.0, 340.7) | Vel: (82.0, 30.4) | Orient: -0.56 rad | AngVel: -0.17 | Speed: 87.4 | DistToTarget: 401.9 | Colliding: False | NearestObstacle: 99.7
Step 52 | Time: 0.867s | Pos: (634.5, 341.3) | Vel: (91.7, 33.2) | Orient: -0.57 rad | AngVel: -0.19 | Speed: 97.6 | DistToTarget: 400.9 | Colliding: False | NearestObstacle: 99.4
Step 53 | Time: 0.883s | Pos: (636.2, 341.9) | Vel: (101.7, 35.9) | Orient: -0.57 rad | AngVel: -0.21 | Speed: 107.8 | DistToTarget: 399.8 | Colliding: False | NearestObstacle: 99.0
Step 54 | Time: 0.900s | Pos: (638.1, 342.5) | Vel: (111.6, 38.5) | Orient: -0.57 rad | AngVel: -0.23 | Speed: 118.0 | DistToTarget: 398.6 | Colliding: False | NearestObstacle: 98.7
Step 55 | Time: 0.917s | Pos: (640.1, 343.2) | Vel: (121.4, 41.0) | Orient: -0.58 rad | AngVel: -0.25 | Speed: 128.2 | DistToTarget: 397.3 | Colliding: False | NearestObstacle: 98.4
