Step 110 | Time: 1.833s | Pos: (686.4, 486.0) | Vel: (57.4, 81.9) | Orient: 0.79 rad | AngVel: -1.18 | Speed: 100.0 | DistToTarget: 11.4 | Colliding: False | NearestObstacle: 157.8
Step 111 | Time: 1.850s | Pos: (687.4, 487.3) | Vel: (58.1, 81.4) | Orient: 0.77 rad | AngVel: -1.46 | Speed: 100.0 | DistToTarget: 9.8 | Colliding: False | NearestObstacle: 158.6
Step 112 | Time: 1.867s | Pos: (688.4, 488.7) | Vel: (58.8, 80.9) | Orient: 0.74 rad | AngVel: -1.86 | Speed: 100.0 | DistToTarget: 8.2 | Colliding: False | NearestObstacle: 159.3
Step 113 | Time: 1.883s | Pos: (689.4, 490.0) | Vel: (59.6, 80.3) | Orient: 0.70 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 6.5 | Colliding: False | NearestObstacle: 160.0
Step 114 | Time: 1.900s | Pos: (690.4, 491.3) | Vel: (60.6, 79.5) | Orient: 0.67 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 5.0 | Colliding: False | NearestObstacle: 160.8
Step 115 | Time: 1.917s | Pos: (691.4, 492.7) | Vel: (61.8, 78.6) | Orient: 0.64 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 3.4 | Colliding: False | NearestObstacle: 161.5
Step 116 | Time: 1.933s | Pos: (692.5, 493.9) | Vel: (63.5, 77.3) | Orient: 0.60 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 2.1 | Colliding: False | NearestObstacle: 162.1
Step 117 | Time: 1.950s | Pos: (693.6, 495.2) | Vel: (66.0, 75.1) | Orient: 0.57 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.5 | Colliding: False | NearestObstacle: 162.8
Step 118 | Time: 1.967s | Pos: (694.7, 496.4) | Vel: (69.0, 71.6) | Orient: 0.54 rad | AngVel: -2.00 | Speed: 99.4 | DistToTarget: 2.4 | Colliding: False | NearestObstacle: 163.4
Step 119 | Time: 1.983s | Pos: (695.9, 497.5) | Vel: (68.6, 67.0) | Orient: 0.50 rad | AngVel: -2.00 | Speed: 95.9 | DistToTarget: 3.7 | Colliding: False | NearestObstacle: 163.9
