Step 45 | Time: 0.750s | Pos: (531.7, 372.5) | Vel: (-168.7, 56.8) | Orient: 2.30 rad | AngVel: -0.37 | Speed: 178.0 | DistToTarget: 249.4 | Colliding: False | NearestObstacle: 73.3
Step 46 | Time: 0.767s | Pos: (529.1, 373.5) | Vel: (-154.4, 54.8) | Orient: 2.29 rad | AngVel: -0.34 | Speed: 163.9 | DistToTarget: 247.1 | Colliding: False | NearestObstacle: 70.6
Step 47 | Time: 0.783s | Pos: (526.8, 374.3) | Vel: (-138.4, 51.9) | Orient: 2.28 rad | AngVel: -0.30 | Speed: 147.8 | DistToTarget: 244.9 | Colliding: False | NearestObstacle: 68.1
Step 48 | Time: 0.800s | Pos: (524.8, 375.1) | Vel: (-120.7, 48.3) | Orient: 2.28 rad | AngVel: -0.26 | Speed: 130.0 | DistToTarget: 243.0 | Colliding: False | NearestObstacle: 66.0
Step 49 | Time: 0.817s | Pos: (523.1, 375.9) | Vel: (-101.5, 43.9) | Orient: 2.28 rad | AngVel: -0.22 | Speed: 110.6 | DistToTarget: 241.3 | Colliding: False | NearestObstacle: 64.2
Step 50 | Time: 0.833s | Pos: (521.7, 376.5) | Vel: (-80.9, 39.0) | Orient: 2.27 rad | AngVel: -0.17 | Speed: 89.8 | DistToTarget: 239.9 | Colliding: False | NearestObstacle: 62.7
Step 51 | Time: 0.850s | Pos: (520.7, 377.1) | Vel: (-59.5, 33.8) | Orient: 2.27 rad | AngVel: -0.11 | Speed: 68.4 | DistToTarget: 238.9 | Colliding: False | NearestObstacle: 61.5
Step 52 | Time: 0.867s | Pos: (520.1, 377.5) | Vel: (-37.5, 28.8) | Orient: 2.27 rad | AngVel: -0.06 | Speed: 47.2 | DistToTarget: 238.1 | Colliding: False | NearestObstacle: 60.7
Step 53 | Time: 0.883s | Pos: (519.9, 378.0) | Vel: (-15.4, 24.3) | Orient: 2.27 rad | AngVel: 0.01 | Speed: 28.8 | DistToTarget: 237.6 | Colliding: False | NearestObstacle: 60.3
Step 54 | Time: 0.900s | Pos: (520.0, 378.3) | Vel: (6.1, 20.7) | Orient: 2.27 rad | AngVel: 0.07 | Speed: 21.6 | DistToTarget: 237.4 | Colliding: False | NearestObstacle: 60.2
Step 55 | Time: 0.917s | Pos: (520.4, 378.6) | Vel: (26.3, 18.6) | Orient: 2.27 rad | AngVel: 0.13 | Speed: 32.2 | DistToTarget: 237.5 | Colliding: False | NearestObstacle: 60.5
