Step 59 | Time: 0.983s | Pos: (640.1, 507.6) | Vel: (106.6, 253.5) | Orient: 0.38 rad | AngVel: -0.49 | Speed: 275.0 | DistToTarget: 396.3 | Colliding: False | NearestObstacle: 113.0
Step 60 | Time: 1.000s | Pos: (641.9, 511.9) | Vel: (112.9, 253.3) | Orient: 0.37 rad | AngVel: -0.49 | Speed: 277.3 | DistToTarget: 393.0 | Colliding: False | NearestObstacle: 113.8
Step 61 | Time: 1.017s | Pos: (643.9, 516.1) | Vel: (119.2, 252.9) | Orient: 0.36 rad | AngVel: -0.50 | Speed: 279.5 | DistToTarget: 389.7 | Colliding: False | NearestObstacle: 114.6
Step 62 | Time: 1.033s | Pos: (646.0, 520.3) | Vel: (125.4, 252.1) | Orient: 0.35 rad | AngVel: -0.50 | Speed: 281.6 | DistToTarget: 386.2 | Colliding: False | NearestObstacle: 115.4
Step 63 | Time: 1.050s | Pos: (648.2, 524.5) | Vel: (131.6, 251.1) | Orient: 0.35 rad | AngVel: -0.50 | Speed: 283.5 | DistToTarget: 382.7 | Colliding: False | NearestObstacle: 116.3
Step 64 | Time: 1.067s | Pos: (650.5, 528.6) | Vel: (137.7, 249.9) | Orient: 0.34 rad | AngVel: -0.50 | Speed: 285.3 | DistToTarget: 379.2 | Colliding: False | NearestObstacle: 117.2
Step 65 | Time: 1.083s | Pos: (652.9, 532.8) | Vel: (143.6, 248.4) | Orient: 0.33 rad | AngVel: -0.50 | Speed: 286.9 | DistToTarget: 375.6 | Colliding: False | NearestObstacle: 118.2
Step 66 | Time: 1.100s | Pos: (655.4, 536.9) | Vel: (149.4, 246.6) | Orient: 0.32 rad | AngVel: -0.50 | Speed: 288.4 | DistToTarget: 371.9 | Colliding: False | NearestObstacle: 119.2
Step 67 | Time: 1.117s | Pos: (658.0, 541.0) | Vel: (155.0, 244.6) | Orient: 0.31 rad | AngVel: -0.50 | Speed: 289.6 | DistToTarget: 368.2 | Colliding: False | NearestObstacle: 120.3
Step 68 | Time: 1.133s | Pos: (660.6, 545.0) | Vel: (160.4, 242.5) | Orient: 0.30 rad | AngVel: -0.50 | Speed: 290.7 | DistToTarget: 364.4 | Colliding: False | NearestObstacle: 121.4
Step 69 | Time: 1.150s | Pos: (663.4, 549.0) | Vel: (165.5, 240.0) | Orient: 0.30 rad | AngVel: -0.50 | Speed: 291.6 | DistToTarget: 360.6 | Colliding: False | NearestObstacle: 122.6
Step 70 | Time: 1.167s | Pos: (666.2, 553.0) | Vel: (170.3, 237.4) | Orient: 0.29 rad | AngVel: -0.50 | Speed: 292.2 | DistToTarget: 356.7 | Colliding: False | NearestObstacle: 123.8
