Step 42 | Time: 0.700s | Pos: (663.9, 315.6) | Vel: (-100.3, -72.3) | Orient: 2.94 rad | AngVel: -0.23 | Speed: 123.7 | DistToTarget: 399.6 | Colliding: False | NearestObstacle: 114.7
Step 43 | Time: 0.717s | Pos: (662.3, 314.4) | Vel: (-96.8, -70.2) | Orient: 2.93 rad | AngVel: -0.22 | Speed: 119.6 | DistToTarget: 398.3 | Colliding: False | NearestObstacle: 113.0
Step 44 | Time: 0.733s | Pos: (660.8, 313.3) | Vel: (-93.1, -68.3) | Orient: 2.93 rad | AngVel: -0.22 | Speed: 115.4 | DistToTarget: 397.0 | Colliding: False | NearestObstacle: 111.4
Step 45 | Time: 0.750s | Pos: (659.3, 312.2) | Vel: (-89.1, -66.5) | Orient: 2.93 rad | AngVel: -0.21 | Speed: 111.2 | DistToTarget: 395.8 | Colliding: False | NearestObstacle: 109.8
Step 46 | Time: 0.767s | Pos: (657.8, 311.1) | Vel: (-84.9, -65.0) | Orient: 2.92 rad | AngVel: -0.21 | Speed: 106.9 | DistToTarget: 394.6 | Colliding: False | NearestObstacle: 108.3
Step 47 | Time: 0.783s | Pos: (656.5, 310.0) | Vel: (-80.7, -63.6) | Orient: 2.92 rad | AngVel: -0.20 | Speed: 102.7 | DistToTarget: 393.5 | Colliding: False | NearestObstacle: 106.9
Step 48 | Time: 0.800s | Pos: (655.2, 309.0) | Vel: (-76.3, -62.3) | Orient: 2.92 rad | AngVel: -0.20 | Speed: 98.5 | DistToTarget: 392.5 | Colliding: False | NearestObstacle: 105.6
Step 49 | Time: 0.817s | Pos: (654.0, 308.0) | Vel: (-71.9, -61.3) | Orient: 2.91 rad | AngVel: -0.19 | Speed: 94.5 | DistToTarget: 391.6 | Colliding: False | NearestObstacle: 104.4
Step 50 | Time: 0.833s | Pos: (652.9, 307.0) | Vel: (-67.5, -60.4) | Orient: 2.91 rad | AngVel: -0.19 | Speed: 90.6 | DistToTarget: 390.7 | Colliding: False | NearestObstacle: 103.2
Step 51 | Time: 0.850s | Pos: (651.9, 306.0) | Vel: (-63.2, -59.7) | Orient: 2.91 rad | AngVel: -0.19 | Speed: 86.9 | DistToTarget: 389.9 | Colliding: False | NearestObstacle: 102.1
Step 52 | Time: 0.867s | Pos: (650.9, 305.0) | Vel: (-58.9, -59.2) | Orient: 2.90 rad | AngVel: -0.18 | Speed: 83.5 | DistToTarget: 389.2 | Colliding: False | NearestObstacle: 101.1
Step 53 | Time: 0.883s | Pos: (650.0, 304.0) | Vel: (-54.8, -58.8) | Orient: 2.90 rad | AngVel: -0.18 | Speed: 80.4 | DistToTarget: 388.5 | Colliding: False | NearestObstacle: 100.2
Step 54 | Time: 0.900s | Pos: (649.1, 303.0) | Vel: (-51.0, -58.6) | Orient: 2.90 rad | AngVel: -0.18 | Speed: 77.7 | DistToTarget: 388.0 | Colliding: False | NearestObstacle: 99.3
Step 55 | Time: 0.917s | Pos: (648.3, 302.0) | Vel: (-47.3, -58.5) | Orient: 2.90 rad | AngVel: -0.17 | Speed: 75.3 | DistToTarget: 387.4 | Colliding: False | NearestObstacle: 98.6
Step 56 | Time: 0.933s | Pos: (647.6, 301.1) | Vel: (-44.0, -58.6) | Orient: 2.89 rad | AngVel: -0.17 | Speed: 73.3 | DistToTarget: 387.0 | Colliding: False | NearestObstacle: 97.8
Step 57 | Time: 0.950s | Pos: (646.9, 300.1) | Vel: (-41.1, -58.8) | Orient: 2.89 rad | AngVel: -0.17 | Speed: 71.7 | DistToTarget: 386.5 | Colliding: False | NearestObstacle: 97.2
Step 58 | Time: 0.967s | Pos: (646.3, 299.1) | Vel: (-38.5, -59.0) | Orient: 2.89 rad | AngVel: -0.17 | Speed: 70.5 | DistToTarget: 386.2 | Colliding: False | NearestObstacle: 96.5
Step 59 | Time: 0.983s | Pos: (645.7, 298.1) | Vel: (-36.3, -59.4) | Orient: 2.88 rad | AngVel: -0.17 | Speed: 69.7 | DistToTarget: 385.8 | Colliding: False | NearestObstacle: 96.0
Step 60 | Time: 1.000s | Pos: (645.1, 297.1) | Vel: (-34.7, -59.9) | Orient: 2.88 rad | AngVel: -0.17 | Speed: 69.2 | DistToTarget: 385.5 | Colliding: False | NearestObstacle: 95.4
Step 61 | Time: 1.017s | Pos: (644.5, 296.1) | Vel: (-33.5, -60.5) | Orient: 2.88 rad | AngVel: -0.17 | Speed: 69.1 | DistToTarget: 385.2 | Colliding: False | NearestObstacle: 94.9
Step 62 | Time: 1.033s | Pos: (644.0, 295.1) | Vel: (-32.8, -61.1) | Orient: 2.88 rad | AngVel: -0.17 | Speed: 69.3 | DistToTarget: 385.0 | Colliding: False | NearestObstacle: 94.5
Step 63 | Time: 1.050s | Pos: (643.4, 294.1) | Vel: (-32.6, -61.8) | Orient: 2.87 rad | AngVel: -0.18 | Speed: 69.9 | DistToTarget: 384.7 | Colliding: False | NearestObstacle: 94.0
Step 64 | Time: 1.067s | Pos: (642.9, 293.0) | Vel: (-32.8, -62.6) | Orient: 2.87 rad | AngVel: -0.18 | Speed: 70.7 | DistToTarget: 384.5 | Colliding: False | NearestObstacle: 93.5
Step 65 | Time: 1.083s | Pos: (642.3, 292.0) | Vel: (-33.6, -63.4) | Orient: 2.87 rad | AngVel: -0.18 | Speed: 71.7 | DistToTarget: 384.2 | Colliding: False | NearestObstacle: 93.1
Step 66 | Time: 1.100s | Pos: (641.7, 290.9) | Vel: (-34.7, -64.3) | Orient: 2.86 rad | AngVel: -0.18 | Speed: 73.0 | DistToTarget: 384.0 | Colliding: False | NearestObstacle: 92.6
Step 67 | Time: 1.117s | Pos: (641.1, 289.8) | Vel: (-36.2, -65.2) | Orient: 2.86 rad | AngVel: -0.19 | Speed: 74.6 | DistToTarget: 383.7 | Colliding: False | NearestObstacle: 92.1
Step 68 | Time: 1.133s | Pos: (640.5, 288.7) | Vel: (-38.0, -66.2) | Orient: 2.86 rad | AngVel: -0.19 | Speed: 76.3 | DistToTarget: 383.4 | Colliding: False | NearestObstacle: 91.6
Step 69 | Time: 1.150s | Pos: (639.8, 287.6) | Vel: (-40.0, -67.3) | Orient: 2.85 rad | AngVel: -0.20 | Speed: 78.3 | DistToTarget: 383.1 | Colliding: False | NearestObstacle: 91.1
Step 70 | Time: 1.167s | Pos: (639.1, 286.4) | Vel: (-42.2, -68.4) | Orient: 2.85 rad | AngVel: -0.20 | Speed: 80.4 | DistToTarget: 382.7 | Colliding: False | NearestObstacle: 90.5
Step 71 | Time: 1.183s | Pos: (638.4, 285.3) | Vel: (-44.5, -69.7) | Orient: 2.85 rad | AngVel: -0.21 | Speed: 82.7 | DistToTarget: 382.3 | Colliding: False | NearestObstacle: 90.0
Step 72 | Time: 1.200s | Pos: (637.6, 284.1) | Vel: (-46.8, -71.1) | Orient: 2.84 rad | AngVel: -0.21 | Speed: 85.1 | DistToTarget: 381.9 | Colliding: False | NearestObstacle: 89.4
Step 73 | Time: 1.217s | Pos: (636.8, 282.9) | Vel: (-49.1, -72.6) | Orient: 2.84 rad | AngVel: -0.22 | Speed: 87.7 | DistToTarget: 381.5 | Colliding: False | NearestObstacle: 88.8
Step 74 | Time: 1.233s | Pos: (636.0, 281.6) | Vel: (-51.3, -74.4) | Orient: 2.84 rad | AngVel: -0.22 | Speed: 90.3 | DistToTarget: 381.1 | Colliding: False | NearestObstacle: 88.2
Step 75 | Time: 1.250s | Pos: (635.1, 280.4) | Vel: (-53.3, -76.3) | Orient: 2.83 rad | AngVel: -0.23 | Speed: 93.1 | DistToTarget: 380.6 | Colliding: False | NearestObstacle: 87.5
Step 76 | Time: 1.267s | Pos: (634.1, 279.1) | Vel: (-55.2, -78.4) | Orient: 2.83 rad | AngVel: -0.24 | Speed: 95.9 | DistToTarget: 380.1 | Colliding: False | NearestObstacle: 86.9
Step 77 | Time: 1.283s | Pos: (633.2, 277.7) | Vel: (-57.0, -80.8) | Orient: 2.82 rad | AngVel: -0.25 | Speed: 98.9 | DistToTarget: 379.6 | Colliding: False | NearestObstacle: 86.3
Step 78 | Time: 1.300s | Pos: (632.2, 276.3) | Vel: (-58.6, -83.4) | Orient: 2.82 rad | AngVel: -0.26 | Speed: 101.9 | DistToTarget: 379.2 | Colliding: False | NearestObstacle: 85.6
Step 79 | Time: 1.317s | Pos: (631.2, 274.9) | Vel: (-60.0, -86.4) | Orient: 2.82 rad | AngVel: -0.26 | Speed: 105.2 | DistToTarget: 378.7 | Colliding: False | NearestObstacle: 85.0
Step 80 | Time: 1.333s | Pos: (630.2, 273.4) | Vel: (-61.3, -89.6) | Orient: 2.81 rad | AngVel: -0.27 | Speed: 108.6 | DistToTarget: 378.2 | Colliding: False | NearestObstacle: 84.4
Step 81 | Time: 1.350s | Pos: (629.2, 271.8) | Vel: (-62.6, -93.2) | Orient: 2.81 rad | AngVel: -0.28 | Speed: 112.3 | DistToTarget: 377.7 | Colliding: False | NearestObstacle: 83.8
Step 82 | Time: 1.367s | Pos: (628.1, 270.2) | Vel: (-63.8, -97.1) | Orient: 2.80 rad | AngVel: -0.30 | Speed: 116.2 | DistToTarget: 377.2 | Colliding: False | NearestObstacle: 83.3
Step 83 | Time: 1.383s | Pos: (627.0, 268.5) | Vel: (-65.1, -101.2) | Orient: 2.80 rad | AngVel: -0.31 | Speed: 120.4 | DistToTarget: 376.8 | Colliding: False | NearestObstacle: 82.8
Step 84 | Time: 1.400s | Pos: (625.9, 266.8) | Vel: (-66.6, -105.7) | Orient: 2.79 rad | AngVel: -0.32 | Speed: 124.9 | DistToTarget: 376.3 | Colliding: False | NearestObstacle: 82.3
Step 85 | Time: 1.417s | Pos: (624.8, 264.9) | Vel: (-68.3, -110.4) | Orient: 2.79 rad | AngVel: -0.34 | Speed: 129.8 | DistToTarget: 375.9 | Colliding: False | NearestObstacle: 81.8
