Step 38 | Time: 0.633s | Pos: (675.9, 361.0) | Vel: (99.9, -5.2) | Orient: 0.74 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 452.5 | Colliding: False | NearestObstacle: 78.7
Step 39 | Time: 0.650s | Pos: (677.6, 360.9) | Vel: (99.8, -5.8) | Orient: 0.70 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 450.8 | Colliding: False | NearestObstacle: 77.1
Step 40 | Time: 0.667s | Pos: (679.2, 360.8) | Vel: (99.8, -6.5) | Orient: 0.67 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 449.1 | Colliding: False | NearestObstacle: 75.5
Step 41 | Time: 0.683s | Pos: (680.9, 360.7) | Vel: (99.7, -7.1) | Orient: 0.64 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 447.5 | Colliding: False | NearestObstacle: 73.9
Step 42 | Time: 0.700s | Pos: (682.6, 360.6) | Vel: (99.7, -7.8) | Orient: 0.60 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 445.8 | Colliding: False | NearestObstacle: 72.3
Step 43 | Time: 0.717s | Pos: (684.2, 360.4) | Vel: (99.6, -8.5) | Orient: 0.57 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 444.1 | Colliding: False | NearestObstacle: 70.7
Step 44 | Time: 0.733s | Pos: (685.9, 360.3) | Vel: (99.6, -9.3) | Orient: 0.54 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 442.5 | Colliding: False | NearestObstacle: 69.1
Step 45 | Time: 0.750s | Pos: (687.5, 360.1) | Vel: (99.5, -10.0) | Orient: 0.50 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 440.8 | Colliding: False | NearestObstacle: 67.5
Step 46 | Time: 0.767s | Pos: (689.2, 359.9) | Vel: (99.4, -10.8) | Orient: 0.47 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 439.1 | Colliding: False | NearestObstacle: 65.9
Step 47 | Time: 0.783s | Pos: (690.8, 359.7) | Vel: (99.3, -11.7) | Orient: 0.44 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 437.5 | Colliding: False | NearestObstacle: 64.3
Step 48 | Time: 0.800s | Pos: (692.5, 359.5) | Vel: (99.2, -12.5) | Orient: 0.40 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 435.8 | Colliding: False | NearestObstacle: 62.8
Step 49 | Time: 0.817s | Pos: (694.1, 359.3) | Vel: (99.1, -13.4) | Orient: 0.37 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 434.1 | Colliding: False | NearestObstacle: 61.2
Step 50 | Time: 0.833s | Pos: (695.8, 359.0) | Vel: (99.0, -14.4) | Orient: 0.34 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 432.5 | Colliding: False | NearestObstacle: 59.7
Step 51 | Time: 0.850s | Pos: (697.4, 358.8) | Vel: (98.8, -15.4) | Orient: 0.30 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 430.8 | Colliding: False | NearestObstacle: 58.1
