Step 50 | Time: 0.833s | Pos: (683.8, 366.7) | Vel: (99.9, -4.1) | Orient: -1.34 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 285.4 | Colliding: False | NearestObstacle: 89.0
Step 51 | Time: 0.850s | Pos: (685.5, 366.6) | Vel: (99.9, -4.5) | Orient: -1.30 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 283.8 | Colliding: False | NearestObstacle: 88.4
Step 52 | Time: 0.867s | Pos: (687.2, 366.5) | Vel: (99.9, -4.9) | Orient: -1.27 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 282.2 | Colliding: False | NearestObstacle: 87.9
Step 53 | Time: 0.883s | Pos: (688.8, 366.4) | Vel: (99.9, -5.3) | Orient: -1.24 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 280.6 | Colliding: False | NearestObstacle: 87.4
Step 54 | Time: 0.900s | Pos: (690.5, 366.3) | Vel: (99.8, -5.7) | Orient: -1.20 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 279.0 | Colliding: False | NearestObstacle: 86.9
Step 55 | Time: 0.917s | Pos: (692.2, 366.2) | Vel: (99.8, -6.0) | Orient: -1.17 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 277.4 | Colliding: False | NearestObstacle: 86.4
Step 56 | Time: 0.933s | Pos: (693.8, 366.1) | Vel: (99.8, -6.3) | Orient: -1.14 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 275.8 | Colliding: False | NearestObstacle: 85.9
Step 57 | Time: 0.950s | Pos: (695.5, 366.0) | Vel: (99.8, -6.6) | Orient: -1.10 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 274.2 | Colliding: False | NearestObstacle: 85.5
Step 58 | Time: 0.967s | Pos: (697.2, 365.9) | Vel: (99.8, -6.8) | Orient: -1.07 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 272.6 | Colliding: False | NearestObstacle: 85.1
Step 59 | Time: 0.983s | Pos: (698.8, 365.8) | Vel: (99.7, -7.1) | Orient: -1.04 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 271.1 | Colliding: False | NearestObstacle: 84.7
Step 60 | Time: 1.000s | Pos: (700.5, 365.7) | Vel: (99.7, -7.3) | Orient: -1.00 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 269.5 | Colliding: False | NearestObstacle: 84.3
Step 61 | Time: 1.017s | Pos: (702.1, 365.5) | Vel: (99.7, -7.6) | Orient: -0.97 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 267.9 | Colliding: False | NearestObstacle: 83.9
Step 62 | Time: 1.033s | Pos: (703.8, 365.4) | Vel: (99.7, -7.8) | Orient: -0.94 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 266.3 | Colliding: False | NearestObstacle: 83.6
Step 63 | Time: 1.050s | Pos: (705.5, 365.3) | Vel: (99.7, -8.1) | Orient: -0.90 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 264.7 | Colliding: False | NearestObstacle: 83.2
Step 64 | Time: 1.067s | Pos: (707.1, 365.1) | Vel: (99.7, -8.3) | Orient: -0.87 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 263.1 | Colliding: False | NearestObstacle: 82.9
