Step 45 | Time: 0.750s | Pos: (615.8, 374.5) | Vel: (-62.7, 77.9) | Orient: 1.68 rad | AngVel: -0.35 | Speed: 100.0 | DistToTarget: 159.0 | Colliding: False | NearestObstacle: 110.6
Step 46 | Time: 0.767s | Pos: (614.8, 375.9) | Vel: (-61.4, 78.9) | Orient: 1.68 rad | AngVel: -0.35 | Speed: 100.0 | DistToTarget: 157.6 | Colliding: False | NearestObstacle: 110.6
Step 47 | Time: 0.783s | Pos: (613.8, 377.2) | Vel: (-60.1, 79.9) | Orient: 1.67 rad | AngVel: -0.34 | Speed: 100.0 | DistToTarget: 156.2 | Colliding: False | NearestObstacle: 110.6
Step 48 | Time: 0.800s | Pos: (612.8, 378.5) | Vel: (-58.8, 80.9) | Orient: 1.67 rad | AngVel: -0.34 | Speed: 100.0 | DistToTarget: 154.7 | Colliding: False | NearestObstacle: 110.6
Step 49 | Time: 0.817s | Pos: (611.8, 379.9) | Vel: (-57.5, 81.8) | Orient: 1.66 rad | AngVel: -0.33 | Speed: 100.0 | DistToTarget: 153.3 | Colliding: False | NearestObstacle: 110.6
Step 50 | Time: 0.833s | Pos: (610.9, 381.3) | Vel: (-56.2, 82.7) | Orient: 1.65 rad | AngVel: -0.32 | Speed: 100.0 | DistToTarget: 151.8 | Colliding: False | NearestObstacle: 110.6
Step 51 | Time: 0.850s | Pos: (610.0, 382.7) | Vel: (-54.9, 83.6) | Orient: 1.65 rad | AngVel: -0.31 | Speed: 100.0 | DistToTarget: 150.4 | Colliding: False | NearestObstacle: 110.6
Step 52 | Time: 0.867s | Pos: (609.1, 384.1) | Vel: (-53.5, 84.5) | Orient: 1.64 rad | AngVel: -0.31 | Speed: 100.0 | DistToTarget: 148.9 | Colliding: False | NearestObstacle: 110.6
Step 53 | Time: 0.883s | Pos: (608.2, 385.5) | Vel: (-52.2, 85.3) | Orient: 1.64 rad | AngVel: -0.31 | Speed: 100.0 | DistToTarget: 147.4 | Colliding: False | NearestObstacle: 110.6
Step 54 | Time: 0.900s | Pos: (607.4, 386.9) | Vel: (-50.9, 86.1) | Orient: 1.63 rad | AngVel: -0.31 | Speed: 100.0 | DistToTarget: 145.9 | Colliding: False | NearestObstacle: 110.6
Step 55 | Time: 0.917s | Pos: (606.6, 388.4) | Vel: (-49.5, 86.9) | Orient: 1.63 rad | AngVel: -0.30 | Speed: 100.0 | DistToTarget: 144.4 | Colliding: False | NearestObstacle: 110.5
Step 56 | Time: 0.933s | Pos: (605.8, 389.8) | Vel: (-48.2, 87.6) | Orient: 1.62 rad | AngVel: -0.30 | Speed: 100.0 | DistToTarget: 142.9 | Colliding: False | NearestObstacle: 110.5
Step 57 | Time: 0.950s | Pos: (605.0, 391.3) | Vel: (-46.9, 88.3) | Orient: 1.62 rad | AngVel: -0.30 | Speed: 100.0 | DistToTarget: 141.4 | Colliding: False | NearestObstacle: 110.5
Step 58 | Time: 0.967s | Pos: (604.2, 392.8) | Vel: (-45.6, 89.0) | Orient: 1.61 rad | AngVel: -0.30 | Speed: 100.0 | DistToTarget: 139.9 | Colliding: False | NearestObstacle: 110.4
Step 59 | Time: 0.983s | Pos: (603.5, 394.3) | Vel: (-44.3, 89.6) | Orient: 1.61 rad | AngVel: -0.29 | Speed: 100.0 | DistToTarget: 138.4 | Colliding: False | NearestObstacle: 110.4
Step 60 | Time: 1.000s | Pos: (602.8, 395.8) | Vel: (-43.0, 90.3) | Orient: 1.60 rad | AngVel: -0.29 | Speed: 100.0 | DistToTarget: 136.8 | Colliding: False | NearestObstacle: 110.3
Step 61 | Time: 1.017s | Pos: (602.1, 397.3) | Vel: (-41.8, 90.9) | Orient: 1.60 rad | AngVel: -0.29 | Speed: 100.0 | DistToTarget: 135.3 | Colliding: False | NearestObstacle: 110.3
