Step 52 | Time: 0.867s | Pos: (600.9, 337.6) | Vel: (105.5, -118.0) | Orient: -0.40 rad | AngVel: 0.23 | Speed: 158.3 | DistToTarget: 289.3 | Colliding: False | NearestObstacle: 134.7
Step 53 | Time: 0.883s | Pos: (602.6, 335.6) | Vel: (102.9, -119.7) | Orient: -0.39 rad | AngVel: 0.24 | Speed: 157.8 | DistToTarget: 286.9 | Colliding: False | NearestObstacle: 132.7
Step 54 | Time: 0.900s | Pos: (604.2, 333.6) | Vel: (100.1, -121.5) | Orient: -0.39 rad | AngVel: 0.26 | Speed: 157.4 | DistToTarget: 284.6 | Colliding: False | NearestObstacle: 130.7
Step 55 | Time: 0.917s | Pos: (605.9, 331.5) | Vel: (97.0, -123.5) | Orient: -0.38 rad | AngVel: 0.27 | Speed: 157.0 | DistToTarget: 282.4 | Colliding: False | NearestObstacle: 128.8
Step 56 | Time: 0.933s | Pos: (607.4, 329.4) | Vel: (93.7, -125.7) | Orient: -0.38 rad | AngVel: 0.29 | Speed: 156.8 | DistToTarget: 280.1 | Colliding: False | NearestObstacle: 127.0
Step 57 | Time: 0.950s | Pos: (608.9, 327.3) | Vel: (90.2, -128.1) | Orient: -0.37 rad | AngVel: 0.30 | Speed: 156.6 | DistToTarget: 277.9 | Colliding: False | NearestObstacle: 125.2
Step 58 | Time: 0.967s | Pos: (610.4, 325.1) | Vel: (86.5, -130.6) | Orient: -0.37 rad | AngVel: 0.32 | Speed: 156.7 | DistToTarget: 275.8 | Colliding: False | NearestObstacle: 123.6
Step 59 | Time: 0.983s | Pos: (611.7, 322.9) | Vel: (82.7, -133.4) | Orient: -0.36 rad | AngVel: 0.34 | Speed: 157.0 | DistToTarget: 273.7 | Colliding: False | NearestObstacle: 122.0
Step 60 | Time: 1.000s | Pos: (613.1, 320.6) | Vel: (78.8, -136.4) | Orient: -0.36 rad | AngVel: 0.36 | Speed: 157.5 | DistToTarget: 271.7 | Colliding: False | NearestObstacle: 120.5
Step 61 | Time: 1.017s | Pos: (614.3, 318.3) | Vel: (74.9, -139.5) | Orient: -0.35 rad | AngVel: 0.38 | Speed: 158.3 | DistToTarget: 269.7 | Colliding: False | NearestObstacle: 119.1
Step 62 | Time: 1.033s | Pos: (615.5, 315.9) | Vel: (71.0, -142.8) | Orient: -0.34 rad | AngVel: 0.41 | Speed: 159.5 | DistToTarget: 267.8 | Colliding: False | NearestObstacle: 117.8
Step 63 | Time: 1.050s | Pos: (616.6, 313.5) | Vel: (67.2, -146.2) | Orient: -0.34 rad | AngVel: 0.43 | Speed: 160.9 | DistToTarget: 266.0 | Colliding: False | NearestObstacle: 116.6
Step 64 | Time: 1.067s | Pos: (617.7, 311.0) | Vel: (63.5, -149.8) | Orient: -0.33 rad | AngVel: 0.45 | Speed: 162.7 | DistToTarget: 264.1 | Colliding: False | NearestObstacle: 115.5
Step 65 | Time: 1.083s | Pos: (618.7, 308.4) | Vel: (60.1, -153.4) | Orient: -0.32 rad | AngVel: 0.48 | Speed: 164.8 | DistToTarget: 262.4 | Colliding: False | NearestObstacle: 114.5
