Step 42 | Time: 0.700s | Pos: (604.8, 361.5) | Vel: (-100.0, 2.5) | Orient: -3.02 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 430.2 | Colliding: False | NearestObstacle: 70.3
Step 43 | Time: 0.717s | Pos: (603.1, 361.5) | Vel: (-99.9, 3.2) | Orient: -2.99 rad | AngVel: 1.80 | Speed: 100.0 | DistToTarget: 428.6 | Colliding: False | NearestObstacle: 68.9
Step 44 | Time: 0.733s | Pos: (601.5, 361.6) | Vel: (-99.9, 4.1) | Orient: -2.97 rad | AngVel: 1.20 | Speed: 100.0 | DistToTarget: 427.0 | Colliding: False | NearestObstacle: 67.5
Step 45 | Time: 0.750s | Pos: (599.8, 361.7) | Vel: (-99.9, 5.0) | Orient: -2.97 rad | AngVel: 0.54 | Speed: 100.0 | DistToTarget: 425.3 | Colliding: False | NearestObstacle: 66.2
Step 46 | Time: 0.767s | Pos: (598.2, 361.8) | Vel: (-99.8, 6.1) | Orient: -2.97 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 423.7 | Colliding: False | NearestObstacle: 64.8
Step 47 | Time: 0.783s | Pos: (596.5, 361.9) | Vel: (-99.7, 7.3) | Orient: -2.97 rad | AngVel: -0.25 | Speed: 100.0 | DistToTarget: 422.1 | Colliding: False | NearestObstacle: 63.5
Step 48 | Time: 0.800s | Pos: (594.8, 362.0) | Vel: (-99.6, 8.6) | Orient: -2.97 rad | AngVel: -0.32 | Speed: 100.0 | DistToTarget: 420.5 | Colliding: False | NearestObstacle: 62.2
Step 49 | Time: 0.817s | Pos: (593.2, 362.2) | Vel: (-99.5, 10.0) | Orient: -2.98 rad | AngVel: -0.26 | Speed: 100.0 | DistToTarget: 418.9 | Colliding: False | NearestObstacle: 60.9
Step 50 | Time: 0.833s | Pos: (591.5, 362.4) | Vel: (-99.3, 11.6) | Orient: -2.98 rad | AngVel: -0.13 | Speed: 100.0 | DistToTarget: 417.3 | Colliding: False | NearestObstacle: 59.7
Step 51 | Time: 0.850s | Pos: (589.9, 362.6) | Vel: (-99.1, 13.3) | Orient: -2.98 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 415.7 | Colliding: False | NearestObstacle: 58.5
