Step 55 | Time: 0.917s | Pos: (597.9, 405.1) | Vel: (-59.9, 80.1) | Orient: 2.59 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 409.8 | Colliding: False | NearestObstacle: 71.7
Step 56 | Time: 0.933s | Pos: (596.9, 406.5) | Vel: (-58.8, 80.9) | Orient: 2.56 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 408.2 | Colliding: False | NearestObstacle: 70.7
Step 57 | Time: 0.950s | Pos: (595.9, 407.8) | Vel: (-57.6, 81.8) | Orient: 2.52 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 406.6 | Colliding: False | NearestObstacle: 69.8
Step 58 | Time: 0.967s | Pos: (595.0, 409.2) | Vel: (-56.3, 82.6) | Orient: 2.50 rad | AngVel: -1.54 | Speed: 100.0 | DistToTarget: 405.0 | Colliding: False | NearestObstacle: 68.9
Step 59 | Time: 0.983s | Pos: (594.1, 410.6) | Vel: (-55.0, 83.5) | Orient: 2.48 rad | AngVel: -0.82 | Speed: 100.0 | DistToTarget: 403.5 | Colliding: False | NearestObstacle: 68.0
Step 60 | Time: 1.000s | Pos: (593.2, 412.0) | Vel: (-53.7, 84.4) | Orient: 2.48 rad | AngVel: -0.17 | Speed: 100.0 | DistToTarget: 401.9 | Colliding: False | NearestObstacle: 67.3
Step 61 | Time: 1.017s | Pos: (592.3, 413.4) | Vel: (-52.4, 85.2) | Orient: 2.49 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 400.3 | Colliding: False | NearestObstacle: 66.5
Step 62 | Time: 1.033s | Pos: (591.5, 414.9) | Vel: (-51.0, 86.0) | Orient: 2.49 rad | AngVel: 0.48 | Speed: 100.0 | DistToTarget: 398.8 | Colliding: False | NearestObstacle: 65.8
Step 63 | Time: 1.050s | Pos: (590.6, 416.3) | Vel: (-49.6, 86.8) | Orient: 2.50 rad | AngVel: 0.49 | Speed: 100.0 | DistToTarget: 397.3 | Colliding: False | NearestObstacle: 65.2
Step 64 | Time: 1.067s | Pos: (589.8, 417.8) | Vel: (-48.3, 87.6) | Orient: 2.51 rad | AngVel: 0.39 | Speed: 100.0 | DistToTarget: 395.8 | Colliding: False | NearestObstacle: 64.6
Step 65 | Time: 1.083s | Pos: (589.1, 419.2) | Vel: (-47.0, 88.3) | Orient: 2.51 rad | AngVel: 0.26 | Speed: 100.0 | DistToTarget: 394.3 | Colliding: False | NearestObstacle: 64.0
Step 66 | Time: 1.100s | Pos: (588.3, 420.7) | Vel: (-45.7, 89.0) | Orient: 2.51 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 392.8 | Colliding: False | NearestObstacle: 63.6
Step 67 | Time: 1.117s | Pos: (587.6, 422.2) | Vel: (-44.5, 89.6) | Orient: 2.52 rad | AngVel: 0.07 | Speed: 100.0 | DistToTarget: 391.3 | Colliding: False | NearestObstacle: 63.1
Step 68 | Time: 1.133s | Pos: (586.8, 423.7) | Vel: (-43.3, 90.1) | Orient: 2.52 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 389.8 | Colliding: False | NearestObstacle: 62.7
Step 69 | Time: 1.150s | Pos: (586.1, 425.2) | Vel: (-42.3, 90.6) | Orient: 2.52 rad | AngVel: 0.05 | Speed: 100.0 | DistToTarget: 388.4 | Colliding: False | NearestObstacle: 62.4
Step 70 | Time: 1.167s | Pos: (585.4, 426.7) | Vel: (-41.3, 91.1) | Orient: 2.52 rad | AngVel: 0.08 | Speed: 100.0 | DistToTarget: 386.9 | Colliding: False | NearestObstacle: 62.1
Step 71 | Time: 1.183s | Pos: (584.8, 428.3) | Vel: (-40.5, 91.4) | Orient: 2.52 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 385.5 | Colliding: False | NearestObstacle: 61.9
Step 72 | Time: 1.200s | Pos: (584.1, 429.8) | Vel: (-39.8, 91.7) | Orient: 2.52 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 384.1 | Colliding: False | NearestObstacle: 61.7
Step 73 | Time: 1.217s | Pos: (583.4, 431.3) | Vel: (-39.2, 92.0) | Orient: 2.53 rad | AngVel: 0.15 | Speed: 100.0 | DistToTarget: 382.7 | Colliding: False | NearestObstacle: 61.5
