Step 44 | Time: 0.733s | Pos: (533.3, 387.8) | Vel: (-105.7, -168.3) | Orient: -1.52 rad | AngVel: 0.40 | Speed: 198.7 | DistToTarget: 277.4 | Colliding: False | NearestObstacle: 172.0
Step 45 | Time: 0.750s | Pos: (531.6, 385.0) | Vel: (-104.1, -172.5) | Orient: -1.51 rad | AngVel: 0.41 | Speed: 201.5 | DistToTarget: 274.7 | Colliding: False | NearestObstacle: 170.4
Step 46 | Time: 0.767s | Pos: (529.9, 382.0) | Vel: (-102.8, -176.3) | Orient: -1.50 rad | AngVel: 0.41 | Speed: 204.1 | DistToTarget: 271.9 | Colliding: False | NearestObstacle: 168.8
Step 47 | Time: 0.783s | Pos: (528.2, 379.0) | Vel: (-101.9, -179.6) | Orient: -1.50 rad | AngVel: 0.42 | Speed: 206.5 | DistToTarget: 269.0 | Colliding: False | NearestObstacle: 167.2
Step 48 | Time: 0.800s | Pos: (526.5, 376.0) | Vel: (-101.3, -182.6) | Orient: -1.49 rad | AngVel: 0.42 | Speed: 208.8 | DistToTarget: 266.1 | Colliding: False | NearestObstacle: 165.6
Step 49 | Time: 0.817s | Pos: (524.8, 372.9) | Vel: (-100.9, -185.3) | Orient: -1.48 rad | AngVel: 0.43 | Speed: 211.0 | DistToTarget: 263.1 | Colliding: False | NearestObstacle: 164.0
Step 50 | Time: 0.833s | Pos: (523.1, 369.8) | Vel: (-100.8, -187.8) | Orient: -1.48 rad | AngVel: 0.44 | Speed: 213.1 | DistToTarget: 260.2 | Colliding: False | NearestObstacle: 162.4
Step 51 | Time: 0.850s | Pos: (521.4, 366.6) | Vel: (-100.9, -190.0) | Orient: -1.47 rad | AngVel: 0.46 | Speed: 215.1 | DistToTarget: 257.2 | Colliding: False | NearestObstacle: 160.9
Step 52 | Time: 0.867s | Pos: (519.7, 363.4) | Vel: (-101.3, -192.0) | Orient: -1.46 rad | AngVel: 0.47 | Speed: 217.1 | DistToTarget: 254.2 | Colliding: False | NearestObstacle: 159.4
Step 53 | Time: 0.883s | Pos: (518.0, 360.2) | Vel: (-101.8, -193.9) | Orient: -1.45 rad | AngVel: 0.48 | Speed: 219.0 | DistToTarget: 251.2 | Colliding: False | NearestObstacle: 157.9
Step 54 | Time: 0.900s | Pos: (516.3, 356.9) | Vel: (-102.4, -195.6) | Orient: -1.44 rad | AngVel: 0.50 | Speed: 220.8 | DistToTarget: 248.2 | Colliding: False | NearestObstacle: 156.4
Step 55 | Time: 0.917s | Pos: (514.6, 353.6) | Vel: (-103.1, -197.3) | Orient: -1.43 rad | AngVel: 0.52 | Speed: 222.6 | DistToTarget: 245.1 | Colliding: False | NearestObstacle: 155.1
Step 56 | Time: 0.933s | Pos: (512.9, 350.3) | Vel: (-103.9, -198.9) | Orient: -1.43 rad | AngVel: 0.53 | Speed: 224.4 | DistToTarget: 242.1 | Colliding: False | NearestObstacle: 153.7
Step 57 | Time: 0.950s | Pos: (511.1, 347.0) | Vel: (-104.8, -200.5) | Orient: -1.42 rad | AngVel: 0.55 | Speed: 226.2 | DistToTarget: 239.1 | Colliding: False | NearestObstacle: 152.5
Step 58 | Time: 0.967s | Pos: (509.4, 343.6) | Vel: (-105.6, -202.1) | Orient: -1.41 rad | AngVel: 0.57 | Speed: 228.0 | DistToTarget: 236.0 | Colliding: False | NearestObstacle: 151.2
Step 59 | Time: 0.983s | Pos: (507.6, 340.2) | Vel: (-106.5, -203.6) | Orient: -1.40 rad | AngVel: 0.59 | Speed: 229.8 | DistToTarget: 233.0 | Colliding: False | NearestObstacle: 150.1
Step 60 | Time: 1.000s | Pos: (505.8, 336.8) | Vel: (-107.3, -205.2) | Orient: -1.39 rad | AngVel: 0.61 | Speed: 231.6 | DistToTarget: 229.9 | Colliding: False | NearestObstacle: 149.0
Step 61 | Time: 1.017s | Pos: (504.0, 333.3) | Vel: (-108.0, -206.8) | Orient: -1.38 rad | AngVel: 0.63 | Speed: 233.3 | DistToTarget: 226.9 | Colliding: False | NearestObstacle: 148.0
Step 62 | Time: 1.033s | Pos: (502.2, 329.9) | Vel: (-108.6, -208.5) | Orient: -1.37 rad | AngVel: 0.66 | Speed: 235.1 | DistToTarget: 223.8 | Colliding: False | NearestObstacle: 147.1
Step 63 | Time: 1.050s | Pos: (500.4, 326.4) | Vel: (-109.1, -210.2) | Orient: -1.35 rad | AngVel: 0.68 | Speed: 236.8 | DistToTarget: 220.8 | Colliding: False | NearestObstacle: 146.2
Step 64 | Time: 1.067s | Pos: (498.6, 322.8) | Vel: (-109.5, -212.0) | Orient: -1.34 rad | AngVel: 0.70 | Speed: 238.6 | DistToTarget: 217.8 | Colliding: False | NearestObstacle: 145.4
Step 65 | Time: 1.083s | Pos: (496.7, 319.3) | Vel: (-109.6, -213.8) | Orient: -1.33 rad | AngVel: 0.72 | Speed: 240.3 | DistToTarget: 214.7 | Colliding: False | NearestObstacle: 144.7
Step 66 | Time: 1.100s | Pos: (494.9, 315.7) | Vel: (-109.6, -215.8) | Orient: -1.32 rad | AngVel: 0.75 | Speed: 242.0 | DistToTarget: 211.7 | Colliding: False | NearestObstacle: 144.0
Step 67 | Time: 1.117s | Pos: (493.1, 312.0) | Vel: (-109.4, -217.8) | Orient: -1.31 rad | AngVel: 0.77 | Speed: 243.7 | DistToTarget: 208.6 | Colliding: False | NearestObstacle: 143.4
