Step 40 | Time: 0.667s | Pos: (698.0, 379.4) | Vel: (95.1, 31.1) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 441.2 | Colliding: False | NearestObstacle: 59.4
Step 41 | Time: 0.683s | Pos: (699.6, 379.9) | Vel: (95.1, 31.0) | Orient: 0.33 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 439.5 | Colliding: False | NearestObstacle: 57.9
Step 42 | Time: 0.700s | Pos: (701.2, 380.4) | Vel: (95.1, 30.9) | Orient: 0.33 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 437.8 | Colliding: False | NearestObstacle: 56.4
Step 43 | Time: 0.717s | Pos: (702.8, 380.9) | Vel: (95.1, 30.8) | Orient: 0.33 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 436.2 | Colliding: False | NearestObstacle: 54.9
Step 44 | Time: 0.733s | Pos: (704.4, 381.4) | Vel: (95.2, 30.7) | Orient: 0.33 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 434.5 | Colliding: False | NearestObstacle: 53.4
Step 45 | Time: 0.750s | Pos: (706.0, 382.0) | Vel: (95.2, 30.6) | Orient: 0.33 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 432.8 | Colliding: False | NearestObstacle: 51.9
Step 46 | Time: 0.767s | Pos: (707.5, 382.5) | Vel: (95.2, 30.5) | Orient: 0.33 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 431.2 | Colliding: False | NearestObstacle: 50.5
Step 47 | Time: 0.783s | Pos: (709.1, 383.0) | Vel: (95.3, 30.4) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 429.5 | Colliding: False | NearestObstacle: 49.0
Step 48 | Time: 0.800s | Pos: (710.7, 383.5) | Vel: (95.3, 30.2) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 427.8 | Colliding: False | NearestObstacle: 47.6
Step 49 | Time: 0.817s | Pos: (712.3, 384.0) | Vel: (95.4, 30.1) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 426.2 | Colliding: False | NearestObstacle: 46.1
Step 50 | Time: 0.833s | Pos: (713.9, 384.5) | Vel: (95.4, 29.9) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 424.5 | Colliding: False | NearestObstacle: 44.7
Step 51 | Time: 0.850s | Pos: (715.5, 385.0) | Vel: (95.5, 29.8) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 422.8 | Colliding: False | NearestObstacle: 43.3
Step 52 | Time: 0.867s | Pos: (717.1, 385.5) | Vel: (95.5, 29.6) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 421.2 | Colliding: False | NearestObstacle: 41.9
Step 53 | Time: 0.883s | Pos: (718.7, 386.0) | Vel: (95.6, 29.4) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 419.5 | Colliding: False | NearestObstacle: 40.5
Step 54 | Time: 0.900s | Pos: (720.3, 386.4) | Vel: (95.6, 29.2) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 417.8 | Colliding: False | NearestObstacle: 39.1
Step 55 | Time: 0.917s | Pos: (721.9, 386.9) | Vel: (95.7, 29.0) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 416.2 | Colliding: False | NearestObstacle: 37.7
Step 56 | Time: 0.933s | Pos: (723.5, 387.4) | Vel: (95.8, 28.8) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 414.5 | Colliding: False | NearestObstacle: 36.4
Step 57 | Time: 0.950s | Pos: (725.1, 387.9) | Vel: (95.8, 28.6) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 412.8 | Colliding: False | NearestObstacle: 35.0
Step 58 | Time: 0.967s | Pos: (726.7, 388.4) | Vel: (95.9, 28.3) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 411.2 | Colliding: False | NearestObstacle: 33.7
Step 59 | Time: 0.983s | Pos: (728.3, 388.8) | Vel: (96.0, 28.0) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 409.5 | Colliding: False | NearestObstacle: 32.4
Step 60 | Time: 1.000s | Pos: (729.9, 389.3) | Vel: (96.1, 27.8) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 407.8 | Colliding: False | NearestObstacle: 31.1
Step 61 | Time: 1.017s | Pos: (731.5, 389.7) | Vel: (96.2, 27.4) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 406.2 | Colliding: False | NearestObstacle: 29.8
Step 62 | Time: 1.033s | Pos: (733.1, 390.2) | Vel: (96.3, 27.1) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 404.5 | Colliding: False | NearestObstacle: 28.6
Step 63 | Time: 1.050s | Pos: (734.7, 390.6) | Vel: (96.4, 26.8) | Orient: 0.34 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 402.8 | Colliding: False | NearestObstacle: 27.3
Step 64 | Time: 1.067s | Pos: (736.3, 391.1) | Vel: (96.5, 26.4) | Orient: 0.34 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 401.2 | Colliding: False | NearestObstacle: 26.1
Step 65 | Time: 1.083s | Pos: (737.9, 391.5) | Vel: (96.6, 26.0) | Orient: 0.34 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 399.5 | Colliding: False | NearestObstacle: 24.9
Step 66 | Time: 1.100s | Pos: (739.5, 391.9) | Vel: (96.7, 25.6) | Orient: 0.34 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 397.9 | Colliding: False | NearestObstacle: 23.8
Step 67 | Time: 1.117s | Pos: (741.1, 392.4) | Vel: (96.8, 25.1) | Orient: 0.34 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 396.2 | Colliding: False | NearestObstacle: 22.6
Step 68 | Time: 1.133s | Pos: (742.7, 392.8) | Vel: (96.9, 24.7) | Orient: 0.34 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 394.5 | Colliding: False | NearestObstacle: 21.5
Step 69 | Time: 1.150s | Pos: (744.3, 393.2) | Vel: (97.0, 24.2) | Orient: 0.34 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 392.9 | Colliding: False | NearestObstacle: 20.4
Step 70 | Time: 1.167s | Pos: (746.0, 393.6) | Vel: (97.2, 23.7) | Orient: 0.34 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 391.2 | Colliding: False | NearestObstacle: 19.4
Step 71 | Time: 1.183s | Pos: (747.6, 393.9) | Vel: (97.3, 23.1) | Orient: 0.34 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 389.6 | Colliding: False | NearestObstacle: 18.4
Step 72 | Time: 1.200s | Pos: (749.2, 394.3) | Vel: (97.4, 22.6) | Orient: 0.34 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 387.9 | Colliding: False | NearestObstacle: 17.4
Step 73 | Time: 1.217s | Pos: (750.8, 394.7) | Vel: (97.5, 22.0) | Orient: 0.34 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 386.3 | Colliding: False | NearestObstacle: 16.5
Step 74 | Time: 1.233s | Pos: (752.5, 395.0) | Vel: (97.7, 21.4) | Orient: 0.34 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 384.6 | Colliding: False | NearestObstacle: 15.6
Step 75 | Time: 1.250s | Pos: (754.1, 395.4) | Vel: (97.8, 20.8) | Orient: 0.34 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 382.9 | Colliding: True | NearestObstacle: 14.8
Step 76 | Time: 1.267s | Pos: (755.7, 395.7) | Vel: (97.9, 20.3) | Orient: 0.34 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 381.3 | Colliding: True | NearestObstacle: 14.0
Step 77 | Time: 1.283s | Pos: (757.4, 396.1) | Vel: (98.0, 19.7) | Orient: 0.34 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 379.6 | Colliding: True | NearestObstacle: 13.2
Step 78 | Time: 1.300s | Pos: (759.0, 396.4) | Vel: (98.2, 19.1) | Orient: 0.34 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 378.0 | Colliding: True | NearestObstacle: 12.5
Step 79 | Time: 1.317s | Pos: (760.6, 396.7) | Vel: (98.3, 18.5) | Orient: 0.34 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 376.3 | Colliding: True | NearestObstacle: 11.9
Step 80 | Time: 1.333s | Pos: (762.3, 397.0) | Vel: (98.4, 18.0) | Orient: 0.34 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 374.7 | Colliding: True | NearestObstacle: 11.3
