Step 41 | Time: 0.683s | Pos: (647.2, 382.1) | Vel: (-188.3, -71.7) | Orient: -2.64 rad | AngVel: 0.05 | Speed: 201.5 | DistToTarget: 590.7 | Colliding: False | NearestObstacle: 127.1
Step 42 | Time: 0.700s | Pos: (644.1, 380.9) | Vel: (-188.1, -71.8) | Orient: -2.64 rad | AngVel: 0.05 | Speed: 201.3 | DistToTarget: 587.3 | Colliding: False | NearestObstacle: 123.7
Step 43 | Time: 0.717s | Pos: (641.0, 379.8) | Vel: (-187.5, -71.6) | Orient: -2.64 rad | AngVel: 0.05 | Speed: 200.7 | DistToTarget: 584.0 | Colliding: False | NearestObstacle: 120.4
Step 44 | Time: 0.733s | Pos: (637.8, 378.6) | Vel: (-186.6, -71.0) | Orient: -2.63 rad | AngVel: 0.05 | Speed: 199.7 | DistToTarget: 580.7 | Colliding: False | NearestObstacle: 117.1
Step 45 | Time: 0.750s | Pos: (634.8, 377.4) | Vel: (-185.4, -70.1) | Orient: -2.63 rad | AngVel: 0.05 | Speed: 198.2 | DistToTarget: 577.5 | Colliding: False | NearestObstacle: 113.8
Step 46 | Time: 0.767s | Pos: (631.7, 376.3) | Vel: (-183.8, -68.9) | Orient: -2.63 rad | AngVel: 0.05 | Speed: 196.3 | DistToTarget: 574.2 | Colliding: False | NearestObstacle: 110.5
Step 47 | Time: 0.783s | Pos: (628.7, 375.1) | Vel: (-181.9, -67.3) | Orient: -2.63 rad | AngVel: 0.05 | Speed: 194.0 | DistToTarget: 571.0 | Colliding: False | NearestObstacle: 107.3
Step 48 | Time: 0.800s | Pos: (625.7, 374.0) | Vel: (-179.7, -65.5) | Orient: -2.63 rad | AngVel: 0.05 | Speed: 191.2 | DistToTarget: 567.9 | Colliding: False | NearestObstacle: 104.1
Step 49 | Time: 0.817s | Pos: (622.7, 373.0) | Vel: (-177.0, -63.3) | Orient: -2.63 rad | AngVel: 0.05 | Speed: 188.0 | DistToTarget: 564.8 | Colliding: False | NearestObstacle: 101.0
Step 50 | Time: 0.833s | Pos: (619.8, 372.0) | Vel: (-174.0, -60.8) | Orient: -2.63 rad | AngVel: 0.06 | Speed: 184.4 | DistToTarget: 561.8 | Colliding: False | NearestObstacle: 98.0
Step 51 | Time: 0.850s | Pos: (617.0, 371.0) | Vel: (-170.7, -57.9) | Orient: -2.63 rad | AngVel: 0.06 | Speed: 180.3 | DistToTarget: 558.8 | Colliding: False | NearestObstacle: 95.0
Step 52 | Time: 0.867s | Pos: (614.2, 370.1) | Vel: (-167.0, -54.7) | Orient: -2.63 rad | AngVel: 0.06 | Speed: 175.7 | DistToTarget: 556.0 | Colliding: False | NearestObstacle: 92.1
Step 53 | Time: 0.883s | Pos: (611.5, 369.2) | Vel: (-162.8, -51.1) | Orient: -2.63 rad | AngVel: 0.06 | Speed: 170.7 | DistToTarget: 553.2 | Colliding: False | NearestObstacle: 89.3
Step 54 | Time: 0.900s | Pos: (608.8, 368.5) | Vel: (-158.3, -47.0) | Orient: -2.62 rad | AngVel: 0.07 | Speed: 165.2 | DistToTarget: 550.5 | Colliding: False | NearestObstacle: 86.6
Step 55 | Time: 0.917s | Pos: (606.3, 367.7) | Vel: (-153.5, -42.6) | Orient: -2.62 rad | AngVel: 0.07 | Speed: 159.3 | DistToTarget: 547.9 | Colliding: False | NearestObstacle: 84.0
Step 56 | Time: 0.933s | Pos: (603.8, 367.1) | Vel: (-148.3, -37.6) | Orient: -2.62 rad | AngVel: 0.07 | Speed: 153.0 | DistToTarget: 545.5 | Colliding: False | NearestObstacle: 81.5
Step 57 | Time: 0.950s | Pos: (601.4, 366.6) | Vel: (-142.7, -32.2) | Orient: -2.62 rad | AngVel: 0.08 | Speed: 146.3 | DistToTarget: 543.1 | Colliding: False | NearestObstacle: 79.2
Step 58 | Time: 0.967s | Pos: (599.1, 366.1) | Vel: (-136.9, -26.3) | Orient: -2.62 rad | AngVel: 0.08 | Speed: 139.4 | DistToTarget: 540.9 | Colliding: False | NearestObstacle: 76.9
Step 59 | Time: 0.983s | Pos: (597.0, 365.8) | Vel: (-130.9, -19.8) | Orient: -2.62 rad | AngVel: 0.09 | Speed: 132.3 | DistToTarget: 538.9 | Colliding: False | NearestObstacle: 74.9
Step 60 | Time: 1.000s | Pos: (594.9, 365.6) | Vel: (-124.7, -12.7) | Orient: -2.62 rad | AngVel: 0.09 | Speed: 125.3 | DistToTarget: 537.0 | Colliding: False | NearestObstacle: 72.9
Step 61 | Time: 1.017s | Pos: (592.9, 365.5) | Vel: (-118.4, -5.0) | Orient: -2.62 rad | AngVel: 0.10 | Speed: 118.5 | DistToTarget: 535.2 | Colliding: False | NearestObstacle: 71.2
Step 62 | Time: 1.033s | Pos: (591.0, 365.6) | Vel: (-112.1, 3.3) | Orient: -2.61 rad | AngVel: 0.11 | Speed: 112.2 | DistToTarget: 533.6 | Colliding: False | NearestObstacle: 69.6
Step 63 | Time: 1.050s | Pos: (589.3, 365.8) | Vel: (-106.1, 12.2) | Orient: -2.61 rad | AngVel: 0.12 | Speed: 106.8 | DistToTarget: 532.2 | Colliding: False | NearestObstacle: 68.2
Step 64 | Time: 1.067s | Pos: (587.6, 366.1) | Vel: (-100.3, 21.8) | Orient: -2.61 rad | AngVel: 0.13 | Speed: 102.6 | DistToTarget: 531.0 | Colliding: False | NearestObstacle: 66.9
Step 65 | Time: 1.083s | Pos: (586.0, 366.7) | Vel: (-94.9, 31.8) | Orient: -2.61 rad | AngVel: 0.14 | Speed: 100.1 | DistToTarget: 529.9 | Colliding: False | NearestObstacle: 65.8
Step 66 | Time: 1.100s | Pos: (584.5, 367.4) | Vel: (-90.2, 42.3) | Orient: -2.60 rad | AngVel: 0.15 | Speed: 99.6 | DistToTarget: 528.9 | Colliding: False | NearestObstacle: 64.9
