Step 52 | Time: 0.867s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 53 | Time: 0.883s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 54 | Time: 0.900s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 55 | Time: 0.917s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 56 | Time: 0.933s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 57 | Time: 0.950s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 58 | Time: 0.967s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 59 | Time: 0.983s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 60 | Time: 1.000s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 1
Step 61 | Time: 1.017s | Pos: (635.6, 362.3) | Vel: (-265.1, 140.5) | Orient: 3.02 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 62 | Time: 1.033s | Pos: (631.2, 364.7) | Vel: (-265.1, 140.5) | Orient: 2.99 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 63 | Time: 1.050s | Pos: (626.7, 367.0) | Vel: (-265.1, 140.5) | Orient: 2.96 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 64 | Time: 1.067s | Pos: (622.3, 369.4) | Vel: (-265.1, 140.5) | Orient: 2.92 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 65 | Time: 1.083s | Pos: (617.9, 371.7) | Vel: (-265.1, 140.5) | Orient: 2.89 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 66 | Time: 1.100s | Pos: (613.5, 374.0) | Vel: (-265.1, 140.5) | Orient: 2.86 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 67 | Time: 1.117s | Pos: (609.1, 376.4) | Vel: (-265.1, 140.5) | Orient: 2.82 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 68 | Time: 1.133s | Pos: (604.7, 378.7) | Vel: (-265.1, 140.5) | Orient: 2.79 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 69 | Time: 1.150s | Pos: (600.2, 381.1) | Vel: (-265.1, 140.5) | Orient: 2.76 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 70 | Time: 1.167s | Pos: (595.8, 383.4) | Vel: (-265.1, 140.5) | Orient: 2.72 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 71 | Time: 1.183s | Pos: (591.4, 385.8) | Vel: (-265.1, 140.5) | Orient: 2.69 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 72 | Time: 1.200s | Pos: (587.0, 388.1) | Vel: (-265.1, 140.5) | Orient: 2.66 rad | AngVel: -1.74 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 73 | Time: 1.217s | Pos: (582.6, 390.4) | Vel: (-265.1, 140.5) | Orient: 2.64 rad | AngVel: -1.11 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 74 | Time: 1.233s | Pos: (578.1, 392.8) | Vel: (-265.1, 140.5) | Orient: 2.64 rad | AngVel: -0.45 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 75 | Time: 1.250s | Pos: (573.7, 395.1) | Vel: (-265.1, 140.5) | Orient: 2.64 rad | AngVel: 0.05 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 76 | Time: 1.267s | Pos: (569.3, 397.5) | Vel: (-265.1, 140.5) | Orient: 2.64 rad | AngVel: 0.32 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 77 | Time: 1.283s | Pos: (564.9, 399.8) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.38 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 78 | Time: 1.300s | Pos: (560.5, 402.1) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.31 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 79 | Time: 1.317s | Pos: (556.1, 404.5) | Vel: (-265.1, 140.5) | Orient: 2.66 rad | AngVel: 0.19 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 80 | Time: 1.333s | Pos: (551.6, 406.8) | Vel: (-265.1, 140.5) | Orient: 2.66 rad | AngVel: 0.06 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 81 | Time: 1.350s | Pos: (547.2, 409.2) | Vel: (-265.1, 140.5) | Orient: 2.66 rad | AngVel: -0.03 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 82 | Time: 1.367s | Pos: (542.8, 411.5) | Vel: (-265.1, 140.5) | Orient: 2.66 rad | AngVel: -0.07 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 83 | Time: 1.383s | Pos: (538.4, 413.8) | Vel: (-265.1, 140.5) | Orient: 2.66 rad | AngVel: -0.07 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 84 | Time: 1.400s | Pos: (534.0, 416.2) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.06 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 85 | Time: 1.417s | Pos: (529.6, 418.5) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.03 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 86 | Time: 1.433s | Pos: (525.1, 420.9) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: -0.01 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 87 | Time: 1.450s | Pos: (520.7, 423.2) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.01 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 88 | Time: 1.467s | Pos: (516.3, 425.6) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.01 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 89 | Time: 1.483s | Pos: (511.9, 427.9) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.01 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 90 | Time: 1.500s | Pos: (507.5, 430.2) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.01 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
Step 91 | Time: 1.517s | Pos: (503.0, 432.6) | Vel: (-265.1, 140.5) | Orient: 2.65 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0 | ActiveShapes: 1
