Step 85 | Time: 1.417s | Pos: (511.8, 424.1) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 241.4 | Colliding: False | NearestObstacle: 58.0
Step 86 | Time: 1.433s | Pos: (510.3, 424.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 239.7 | Colliding: False | NearestObstacle: 56.7
Step 87 | Time: 1.450s | Pos: (508.8, 425.6) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 238.1 | Colliding: False | NearestObstacle: 55.5
Step 88 | Time: 1.467s | Pos: (507.3, 426.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 236.4 | Colliding: False | NearestObstacle: 54.3
Step 89 | Time: 1.483s | Pos: (505.8, 427.1) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 234.7 | Colliding: False | NearestObstacle: 53.1
Step 90 | Time: 1.500s | Pos: (504.3, 427.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 233.1 | Colliding: False | NearestObstacle: 51.9
Step 91 | Time: 1.517s | Pos: (502.8, 428.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 231.4 | Colliding: False | NearestObstacle: 50.7
Step 92 | Time: 1.533s | Pos: (501.3, 429.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 229.7 | Colliding: False | NearestObstacle: 49.6
Step 93 | Time: 1.550s | Pos: (499.9, 430.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 228.1 | Colliding: False | NearestObstacle: 48.4
Step 94 | Time: 1.567s | Pos: (498.4, 430.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 226.4 | Colliding: False | NearestObstacle: 47.3
