Step 46 | Time: 0.767s | Pos: (597.7, 280.6) | Vel: (-250.7, -60.3) | Orient: 2.88 rad | AngVel: -0.22 | Speed: 257.8 | DistToTarget: 551.9 | Colliding: False | NearestObstacle: 156.8
Step 47 | Time: 0.783s | Pos: (593.5, 279.6) | Vel: (-252.9, -61.6) | Orient: 2.88 rad | AngVel: -0.23 | Speed: 260.3 | DistToTarget: 548.1 | Colliding: False | NearestObstacle: 154.7
Step 48 | Time: 0.800s | Pos: (589.2, 278.5) | Vel: (-255.1, -63.1) | Orient: 2.87 rad | AngVel: -0.23 | Speed: 262.7 | DistToTarget: 544.3 | Colliding: False | NearestObstacle: 152.7
Step 49 | Time: 0.817s | Pos: (584.9, 277.5) | Vel: (-257.2, -64.7) | Orient: 2.87 rad | AngVel: -0.24 | Speed: 265.2 | DistToTarget: 540.4 | Colliding: False | NearestObstacle: 150.8
Step 50 | Time: 0.833s | Pos: (580.6, 276.3) | Vel: (-259.3, -66.5) | Orient: 2.86 rad | AngVel: -0.25 | Speed: 267.7 | DistToTarget: 536.6 | Colliding: False | NearestObstacle: 149.0
Step 51 | Time: 0.850s | Pos: (576.2, 275.2) | Vel: (-261.5, -68.4) | Orient: 2.86 rad | AngVel: -0.26 | Speed: 270.3 | DistToTarget: 532.7 | Colliding: False | NearestObstacle: 147.3
Step 52 | Time: 0.867s | Pos: (571.9, 274.0) | Vel: (-263.6, -70.4) | Orient: 2.86 rad | AngVel: -0.27 | Speed: 272.9 | DistToTarget: 528.8 | Colliding: False | NearestObstacle: 145.6
Step 53 | Time: 0.883s | Pos: (567.4, 272.8) | Vel: (-265.9, -72.5) | Orient: 2.85 rad | AngVel: -0.27 | Speed: 275.5 | DistToTarget: 524.9 | Colliding: False | NearestObstacle: 144.1
Step 54 | Time: 0.900s | Pos: (563.0, 271.6) | Vel: (-268.1, -74.5) | Orient: 2.85 rad | AngVel: -0.28 | Speed: 278.3 | DistToTarget: 521.0 | Colliding: False | NearestObstacle: 142.8
Step 55 | Time: 0.917s | Pos: (558.4, 270.3) | Vel: (-270.4, -76.4) | Orient: 2.84 rad | AngVel: -0.29 | Speed: 281.0 | DistToTarget: 517.1 | Colliding: False | NearestObstacle: 141.5
Step 56 | Time: 0.933s | Pos: (553.9, 269.0) | Vel: (-272.8, -78.3) | Orient: 2.84 rad | AngVel: -0.30 | Speed: 283.9 | DistToTarget: 513.1 | Colliding: False | NearestObstacle: 140.4
Step 57 | Time: 0.950s | Pos: (549.3, 267.7) | Vel: (-275.3, -80.1) | Orient: 2.83 rad | AngVel: -0.31 | Speed: 286.7 | DistToTarget: 509.2 | Colliding: False | NearestObstacle: 139.4
Step 58 | Time: 0.967s | Pos: (544.7, 266.3) | Vel: (-277.9, -81.7) | Orient: 2.83 rad | AngVel: -0.32 | Speed: 289.6 | DistToTarget: 505.2 | Colliding: False | NearestObstacle: 138.6
Step 59 | Time: 0.983s | Pos: (540.0, 264.9) | Vel: (-280.5, -83.0) | Orient: 2.82 rad | AngVel: -0.33 | Speed: 292.6 | DistToTarget: 501.2 | Colliding: False | NearestObstacle: 137.9
Step 60 | Time: 1.000s | Pos: (535.3, 263.5) | Vel: (-283.3, -84.1) | Orient: 2.81 rad | AngVel: -0.34 | Speed: 295.5 | DistToTarget: 497.1 | Colliding: False | NearestObstacle: 137.3
Step 61 | Time: 1.017s | Pos: (530.5, 262.1) | Vel: (-286.1, -85.0) | Orient: 2.81 rad | AngVel: -0.35 | Speed: 298.4 | DistToTarget: 493.1 | Colliding: False | NearestObstacle: 136.9
Step 62 | Time: 1.033s | Pos: (525.7, 260.7) | Vel: (-288.9, -85.5) | Orient: 2.80 rad | AngVel: -0.36 | Speed: 301.3 | DistToTarget: 489.0 | Colliding: False | NearestObstacle: 136.7
Step 63 | Time: 1.050s | Pos: (520.8, 259.3) | Vel: (-291.8, -85.7) | Orient: 2.80 rad | AngVel: -0.37 | Speed: 304.1 | DistToTarget: 484.9 | Colliding: False | NearestObstacle: 136.6
Step 64 | Time: 1.067s | Pos: (515.9, 257.8) | Vel: (-294.6, -85.6) | Orient: 2.79 rad | AngVel: -0.38 | Speed: 306.8 | DistToTarget: 480.8 | Colliding: False | NearestObstacle: 136.6
Step 65 | Time: 1.083s | Pos: (511.0, 256.4) | Vel: (-297.5, -85.1) | Orient: 2.78 rad | AngVel: -0.38 | Speed: 309.4 | DistToTarget: 476.6 | Colliding: False | NearestObstacle: 136.8
Step 66 | Time: 1.100s | Pos: (506.0, 255.0) | Vel: (-300.3, -84.3) | Orient: 2.78 rad | AngVel: -0.39 | Speed: 311.9 | DistToTarget: 472.5 | Colliding: False | NearestObstacle: 137.2
Step 67 | Time: 1.117s | Pos: (500.9, 253.6) | Vel: (-302.9, -83.3) | Orient: 2.77 rad | AngVel: -0.40 | Speed: 314.2 | DistToTarget: 468.2 | Colliding: False | NearestObstacle: 137.6
Step 68 | Time: 1.133s | Pos: (495.8, 252.2) | Vel: (-305.5, -81.9) | Orient: 2.76 rad | AngVel: -0.40 | Speed: 316.3 | DistToTarget: 464.0 | Colliding: False | NearestObstacle: 138.2
Step 69 | Time: 1.150s | Pos: (490.7, 250.9) | Vel: (-307.9, -80.2) | Orient: 2.76 rad | AngVel: -0.41 | Speed: 318.2 | DistToTarget: 459.7 | Colliding: False | NearestObstacle: 139.0
