Step 45 | Time: 0.750s | Pos: (701.2, 406.2) | Vel: (79.8, 60.2) | Orient: 2.00 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 27.2 | Colliding: False | NearestObstacle: 237.7
Step 46 | Time: 0.767s | Pos: (702.5, 407.2) | Vel: (79.8, 60.2) | Orient: 1.96 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 25.6 | Colliding: False | NearestObstacle: 236.0
Step 47 | Time: 0.783s | Pos: (703.9, 408.2) | Vel: (79.8, 60.2) | Orient: 1.93 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 23.9 | Colliding: False | NearestObstacle: 234.4
Step 48 | Time: 0.800s | Pos: (705.2, 409.2) | Vel: (79.8, 60.2) | Orient: 1.90 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 22.2 | Colliding: False | NearestObstacle: 232.8
Step 49 | Time: 0.817s | Pos: (706.5, 410.2) | Vel: (79.8, 60.2) | Orient: 1.86 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 20.6 | Colliding: False | NearestObstacle: 231.1
Step 50 | Time: 0.833s | Pos: (707.9, 411.2) | Vel: (79.8, 60.2) | Orient: 1.83 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 18.9 | Colliding: False | NearestObstacle: 229.5
Step 51 | Time: 0.850s | Pos: (709.2, 412.2) | Vel: (79.8, 60.2) | Orient: 1.80 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 17.2 | Colliding: False | NearestObstacle: 227.9
Step 52 | Time: 0.867s | Pos: (710.5, 413.2) | Vel: (79.8, 60.2) | Orient: 1.76 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 15.6 | Colliding: False | NearestObstacle: 226.2
Step 53 | Time: 0.883s | Pos: (711.9, 414.2) | Vel: (79.8, 60.2) | Orient: 1.73 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 13.9 | Colliding: False | NearestObstacle: 224.6
Step 54 | Time: 0.900s | Pos: (713.2, 415.2) | Vel: (79.8, 60.2) | Orient: 1.70 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 12.2 | Colliding: False | NearestObstacle: 223.0
Step 55 | Time: 0.917s | Pos: (714.5, 416.2) | Vel: (79.8, 60.2) | Orient: 1.66 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 10.6 | Colliding: False | NearestObstacle: 221.4
Step 56 | Time: 0.933s | Pos: (715.9, 417.2) | Vel: (79.8, 60.2) | Orient: 1.63 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 8.9 | Colliding: False | NearestObstacle: 219.7
Step 57 | Time: 0.950s | Pos: (717.2, 418.2) | Vel: (79.8, 60.2) | Orient: 1.60 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 7.2 | Colliding: False | NearestObstacle: 218.1
Step 58 | Time: 0.967s | Pos: (718.5, 419.2) | Vel: (79.8, 60.2) | Orient: 1.56 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 5.6 | Colliding: False | NearestObstacle: 216.5
Step 59 | Time: 0.983s | Pos: (719.8, 420.2) | Vel: (79.8, 60.2) | Orient: 1.53 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 3.9 | Colliding: False | NearestObstacle: 214.8
Step 60 | Time: 1.000s | Pos: (721.2, 421.2) | Vel: (79.8, 60.2) | Orient: 1.50 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 2.2 | Colliding: False | NearestObstacle: 213.2
Step 61 | Time: 1.017s | Pos: (722.5, 422.2) | Vel: (79.8, 60.2) | Orient: 1.46 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 62 | Time: 1.033s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 63 | Time: 1.050s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 64 | Time: 1.067s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 65 | Time: 1.083s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 66 | Time: 1.100s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 67 | Time: 1.117s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 68 | Time: 1.133s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 69 | Time: 1.150s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 70 | Time: 1.167s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 71 | Time: 1.183s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
Step 72 | Time: 1.200s | Pos: (723.8, 423.2) | Vel: (79.8, 60.2) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 1.1 | Colliding: False | NearestObstacle: 210.0
Step 73 | Time: 1.217s | Pos: (722.5, 422.2) | Vel: (-79.8, -60.2) | Orient: 1.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 0.6 | Colliding: False | NearestObstacle: 211.6
