Step 59 | Time: 0.983s | Pos: (739.9, 365.4) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 44.9 | Colliding: False | NearestObstacle: 152.7
Step 60 | Time: 1.000s | Pos: (741.5, 365.5) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 43.2 | Colliding: False | NearestObstacle: 152.1
Step 61 | Time: 1.017s | Pos: (743.2, 365.6) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 41.5 | Colliding: False | NearestObstacle: 151.4
Step 62 | Time: 1.033s | Pos: (744.8, 365.7) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 39.9 | Colliding: False | NearestObstacle: 150.8
Step 63 | Time: 1.050s | Pos: (746.5, 365.8) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 38.2 | Colliding: False | NearestObstacle: 150.2
Step 64 | Time: 1.067s | Pos: (748.2, 365.8) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 36.5 | Colliding: False | NearestObstacle: 149.6
Step 65 | Time: 1.083s | Pos: (749.8, 365.9) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 34.9 | Colliding: False | NearestObstacle: 149.0
Step 66 | Time: 1.100s | Pos: (751.5, 366.0) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 33.2 | Colliding: False | NearestObstacle: 148.5
Step 67 | Time: 1.117s | Pos: (753.2, 366.1) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 31.5 | Colliding: False | NearestObstacle: 147.9
Step 68 | Time: 1.133s | Pos: (754.8, 366.2) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 29.9 | Colliding: False | NearestObstacle: 147.3
Step 69 | Time: 1.150s | Pos: (756.5, 366.3) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 28.2 | Colliding: False | NearestObstacle: 146.8
Step 70 | Time: 1.167s | Pos: (758.2, 366.4) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 26.5 | Colliding: False | NearestObstacle: 146.3
Step 71 | Time: 1.183s | Pos: (759.8, 366.5) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 24.9 | Colliding: False | NearestObstacle: 145.8
Step 72 | Time: 1.200s | Pos: (761.5, 366.6) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 23.2 | Colliding: False | NearestObstacle: 145.3
Step 73 | Time: 1.217s | Pos: (763.2, 366.7) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 21.5 | Colliding: False | NearestObstacle: 144.8
Step 74 | Time: 1.233s | Pos: (764.8, 366.7) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 19.9 | Colliding: False | NearestObstacle: 144.3
Step 75 | Time: 1.250s | Pos: (766.5, 366.8) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 18.2 | Colliding: False | NearestObstacle: 143.9
Step 76 | Time: 1.267s | Pos: (768.1, 366.9) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 16.5 | Colliding: False | NearestObstacle: 143.4
Step 77 | Time: 1.283s | Pos: (769.8, 367.0) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 14.9 | Colliding: False | NearestObstacle: 143.0
Step 78 | Time: 1.300s | Pos: (771.5, 367.1) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 13.2 | Colliding: False | NearestObstacle: 142.6
Step 79 | Time: 1.317s | Pos: (773.1, 367.2) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 11.5 | Colliding: False | NearestObstacle: 142.2
Step 80 | Time: 1.333s | Pos: (774.8, 367.3) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 9.9 | Colliding: False | NearestObstacle: 141.8
