Step 51 | Time: 0.850s | Pos: (708.2, 291.7) | Vel: (90.1, 12.4) | Orient: 1.31 rad | AngVel: 1.00 | Speed: 90.9 | DistToTarget: 83.3 | Colliding: False | NearestObstacle: 265.1
Step 52 | Time: 0.867s | Pos: (709.6, 292.0) | Vel: (89.0, 17.3) | Orient: 1.32 rad | AngVel: 0.98 | Speed: 90.6 | DistToTarget: 82.6 | Colliding: False | NearestObstacle: 265.4
Step 53 | Time: 0.883s | Pos: (711.1, 292.4) | Vel: (87.7, 22.3) | Orient: 1.34 rad | AngVel: 0.97 | Speed: 90.5 | DistToTarget: 81.9 | Colliding: False | NearestObstacle: 265.7
Step 54 | Time: 0.900s | Pos: (712.5, 292.8) | Vel: (86.2, 27.2) | Orient: 1.36 rad | AngVel: 0.96 | Speed: 90.4 | DistToTarget: 81.2 | Colliding: False | NearestObstacle: 265.9
Step 55 | Time: 0.917s | Pos: (713.9, 293.4) | Vel: (84.7, 32.1) | Orient: 1.37 rad | AngVel: 0.94 | Speed: 90.5 | DistToTarget: 80.3 | Colliding: False | NearestObstacle: 266.1
Step 56 | Time: 0.933s | Pos: (715.3, 294.0) | Vel: (82.9, 37.0) | Orient: 1.39 rad | AngVel: 0.93 | Speed: 90.8 | DistToTarget: 79.5 | Colliding: False | NearestObstacle: 266.2
Step 57 | Time: 0.950s | Pos: (716.7, 294.7) | Vel: (81.1, 41.7) | Orient: 1.40 rad | AngVel: 0.92 | Speed: 91.2 | DistToTarget: 78.6 | Colliding: False | NearestObstacle: 266.1
Step 58 | Time: 0.967s | Pos: (718.0, 295.5) | Vel: (79.0, 46.4) | Orient: 1.42 rad | AngVel: 0.90 | Speed: 91.6 | DistToTarget: 77.6 | Colliding: False | NearestObstacle: 266.0
Step 59 | Time: 0.983s | Pos: (719.3, 296.3) | Vel: (76.9, 50.9) | Orient: 1.43 rad | AngVel: 0.89 | Speed: 92.2 | DistToTarget: 76.6 | Colliding: False | NearestObstacle: 265.9
Step 60 | Time: 1.000s | Pos: (720.5, 297.2) | Vel: (74.6, 55.3) | Orient: 1.45 rad | AngVel: 0.88 | Speed: 92.9 | DistToTarget: 75.5 | Colliding: False | NearestObstacle: 265.6
Step 61 | Time: 1.017s | Pos: (721.7, 298.2) | Vel: (72.2, 59.6) | Orient: 1.46 rad | AngVel: 0.86 | Speed: 93.7 | DistToTarget: 74.3 | Colliding: False | NearestObstacle: 265.3
Step 62 | Time: 1.033s | Pos: (722.9, 299.3) | Vel: (69.7, 63.8) | Orient: 1.48 rad | AngVel: 0.85 | Speed: 94.5 | DistToTarget: 73.2 | Colliding: False | NearestObstacle: 264.9
Step 63 | Time: 1.050s | Pos: (724.0, 300.4) | Vel: (67.1, 67.7) | Orient: 1.49 rad | AngVel: 0.84 | Speed: 95.4 | DistToTarget: 72.0 | Colliding: False | NearestObstacle: 264.5
Step 64 | Time: 1.067s | Pos: (725.1, 301.6) | Vel: (64.5, 71.5) | Orient: 1.50 rad | AngVel: 0.83 | Speed: 96.3 | DistToTarget: 70.7 | Colliding: False | NearestObstacle: 264.0
Step 65 | Time: 1.083s | Pos: (726.1, 302.9) | Vel: (61.7, 75.1) | Orient: 1.52 rad | AngVel: 0.81 | Speed: 97.2 | DistToTarget: 69.4 | Colliding: False | NearestObstacle: 263.4
Step 66 | Time: 1.100s | Pos: (727.1, 304.2) | Vel: (58.9, 78.5) | Orient: 1.53 rad | AngVel: 0.80 | Speed: 98.2 | DistToTarget: 68.0 | Colliding: False | NearestObstacle: 262.7
Step 67 | Time: 1.117s | Pos: (728.0, 305.5) | Vel: (56.1, 81.7) | Orient: 1.54 rad | AngVel: 0.79 | Speed: 99.1 | DistToTarget: 66.6 | Colliding: False | NearestObstacle: 262.0
Step 68 | Time: 1.133s | Pos: (728.9, 306.9) | Vel: (53.3, 84.7) | Orient: 1.56 rad | AngVel: 0.78 | Speed: 100.0 | DistToTarget: 65.2 | Colliding: False | NearestObstacle: 261.2
Step 69 | Time: 1.150s | Pos: (729.8, 308.4) | Vel: (50.4, 87.4) | Orient: 1.57 rad | AngVel: 0.77 | Speed: 100.9 | DistToTarget: 63.7 | Colliding: False | NearestObstacle: 260.4
Step 70 | Time: 1.167s | Pos: (730.5, 309.9) | Vel: (47.6, 90.0) | Orient: 1.58 rad | AngVel: 0.76 | Speed: 101.8 | DistToTarget: 62.2 | Colliding: False | NearestObstacle: 259.5
Step 71 | Time: 1.183s | Pos: (731.3, 311.4) | Vel: (44.7, 92.3) | Orient: 1.60 rad | AngVel: 0.75 | Speed: 102.6 | DistToTarget: 60.7 | Colliding: False | NearestObstacle: 258.5
Step 72 | Time: 1.200s | Pos: (732.0, 313.0) | Vel: (41.9, 94.5) | Orient: 1.61 rad | AngVel: 0.74 | Speed: 103.4 | DistToTarget: 59.2 | Colliding: False | NearestObstacle: 257.6
Step 73 | Time: 1.217s | Pos: (732.6, 314.6) | Vel: (39.2, 96.4) | Orient: 1.62 rad | AngVel: 0.74 | Speed: 104.1 | DistToTarget: 57.6 | Colliding: False | NearestObstacle: 256.5
Step 74 | Time: 1.233s | Pos: (733.3, 316.3) | Vel: (36.5, 98.2) | Orient: 1.63 rad | AngVel: 0.73 | Speed: 104.7 | DistToTarget: 56.0 | Colliding: False | NearestObstacle: 255.5
Step 75 | Time: 1.250s | Pos: (733.8, 317.9) | Vel: (33.8, 99.7) | Orient: 1.64 rad | AngVel: 0.73 | Speed: 105.3 | DistToTarget: 54.4 | Colliding: False | NearestObstacle: 254.3
Step 76 | Time: 1.267s | Pos: (734.3, 319.6) | Vel: (31.3, 101.1) | Orient: 1.66 rad | AngVel: 0.73 | Speed: 105.8 | DistToTarget: 52.7 | Colliding: False | NearestObstacle: 253.2
Step 77 | Time: 1.283s | Pos: (734.8, 321.3) | Vel: (28.8, 102.3) | Orient: 1.67 rad | AngVel: 0.73 | Speed: 106.2 | DistToTarget: 51.1 | Colliding: False | NearestObstacle: 252.0
Step 78 | Time: 1.300s | Pos: (735.3, 323.0) | Vel: (26.4, 103.3) | Orient: 1.68 rad | AngVel: 0.73 | Speed: 106.6 | DistToTarget: 49.4 | Colliding: False | NearestObstacle: 250.8
