Step 45 | Time: 0.750s | Pos: (713.5, 346.6) | Vel: (98.4, -17.9) | Orient: 1.03 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 227.3 | Colliding: False | NearestObstacle: 93.2
Step 46 | Time: 0.767s | Pos: (715.1, 346.3) | Vel: (98.4, -17.9) | Orient: 0.99 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 225.7 | Colliding: False | NearestObstacle: 91.8
Step 47 | Time: 0.783s | Pos: (716.7, 346.0) | Vel: (98.4, -17.9) | Orient: 0.96 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 224.0 | Colliding: False | NearestObstacle: 90.5
Step 48 | Time: 0.800s | Pos: (718.4, 345.7) | Vel: (98.4, -17.9) | Orient: 0.93 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 222.3 | Colliding: False | NearestObstacle: 89.1
Step 49 | Time: 0.817s | Pos: (720.0, 345.4) | Vel: (98.4, -17.9) | Orient: 0.89 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 220.7 | Colliding: False | NearestObstacle: 87.8
Step 50 | Time: 0.833s | Pos: (721.7, 345.1) | Vel: (98.4, -17.8) | Orient: 0.86 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 219.0 | Colliding: False | NearestObstacle: 86.5
Step 51 | Time: 0.850s | Pos: (723.3, 344.8) | Vel: (98.4, -17.8) | Orient: 0.83 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 217.3 | Colliding: False | NearestObstacle: 85.1
Step 52 | Time: 0.867s | Pos: (724.9, 344.5) | Vel: (98.4, -17.8) | Orient: 0.79 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 215.7 | Colliding: False | NearestObstacle: 83.8
Step 53 | Time: 0.883s | Pos: (726.6, 344.2) | Vel: (98.4, -17.8) | Orient: 0.76 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 214.0 | Colliding: False | NearestObstacle: 82.5
Step 54 | Time: 0.900s | Pos: (728.2, 343.9) | Vel: (98.4, -17.8) | Orient: 0.73 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 212.3 | Colliding: False | NearestObstacle: 81.2
Step 55 | Time: 0.917s | Pos: (729.9, 343.6) | Vel: (98.4, -17.8) | Orient: 0.69 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 210.7 | Colliding: False | NearestObstacle: 79.9
Step 56 | Time: 0.933s | Pos: (731.5, 343.3) | Vel: (98.4, -17.8) | Orient: 0.66 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 209.0 | Colliding: False | NearestObstacle: 78.6
Step 57 | Time: 0.950s | Pos: (733.1, 343.0) | Vel: (98.4, -17.8) | Orient: 0.63 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 207.3 | Colliding: False | NearestObstacle: 77.4
Step 58 | Time: 0.967s | Pos: (734.8, 342.7) | Vel: (98.4, -17.8) | Orient: 0.59 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 205.7 | Colliding: False | NearestObstacle: 76.1
Step 59 | Time: 0.983s | Pos: (736.4, 342.4) | Vel: (98.4, -17.8) | Orient: 0.56 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 204.0 | Colliding: False | NearestObstacle: 74.9
Step 60 | Time: 1.000s | Pos: (738.1, 342.1) | Vel: (98.4, -17.8) | Orient: 0.53 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 202.3 | Colliding: False | NearestObstacle: 73.6
Step 61 | Time: 1.017s | Pos: (739.7, 341.9) | Vel: (98.4, -17.8) | Orient: 0.49 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 200.7 | Colliding: False | NearestObstacle: 72.4
Step 62 | Time: 1.033s | Pos: (741.3, 341.6) | Vel: (98.4, -17.7) | Orient: 0.46 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 199.0 | Colliding: False | NearestObstacle: 71.2
Step 63 | Time: 1.050s | Pos: (743.0, 341.3) | Vel: (98.4, -17.7) | Orient: 0.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 197.3 | Colliding: False | NearestObstacle: 70.0
Step 64 | Time: 1.067s | Pos: (744.6, 341.0) | Vel: (98.4, -17.7) | Orient: 0.39 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 195.7 | Colliding: False | NearestObstacle: 68.8
Step 65 | Time: 1.083s | Pos: (746.3, 340.7) | Vel: (98.4, -17.7) | Orient: 0.36 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 194.0 | Colliding: False | NearestObstacle: 67.6
