Step 70 | Time: 1.167s | Pos: (645.9, 437.2) | Vel: (19.1, 98.2) | Orient: 1.38 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 229.4 | Colliding: False | NearestObstacle: 72.1
Step 71 | Time: 1.183s | Pos: (646.2, 438.8) | Vel: (19.7, 98.0) | Orient: 1.41 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 227.9 | Colliding: False | NearestObstacle: 71.8
Step 72 | Time: 1.200s | Pos: (646.5, 440.4) | Vel: (20.2, 97.9) | Orient: 1.44 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 226.4 | Colliding: False | NearestObstacle: 71.6
Step 73 | Time: 1.217s | Pos: (646.9, 442.0) | Vel: (20.7, 97.8) | Orient: 1.48 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 224.9 | Colliding: False | NearestObstacle: 71.4
Step 74 | Time: 1.233s | Pos: (647.2, 443.7) | Vel: (21.0, 97.8) | Orient: 1.51 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 223.4 | Colliding: False | NearestObstacle: 71.2
Step 75 | Time: 1.250s | Pos: (647.6, 445.3) | Vel: (21.3, 97.7) | Orient: 1.54 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 222.0 | Colliding: False | NearestObstacle: 71.1
Step 76 | Time: 1.267s | Pos: (647.9, 446.9) | Vel: (21.5, 97.7) | Orient: 1.58 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 220.5 | Colliding: False | NearestObstacle: 71.0
Step 77 | Time: 1.283s | Pos: (648.3, 448.6) | Vel: (21.7, 97.6) | Orient: 1.61 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 219.0 | Colliding: False | NearestObstacle: 70.9
Step 78 | Time: 1.300s | Pos: (648.7, 450.2) | Vel: (21.7, 97.6) | Orient: 1.64 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 217.6 | Colliding: False | NearestObstacle: 70.9
Step 79 | Time: 1.317s | Pos: (649.0, 451.8) | Vel: (21.7, 97.6) | Orient: 1.68 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 216.1 | Colliding: False | NearestObstacle: 70.8
Step 80 | Time: 1.333s | Pos: (649.4, 453.4) | Vel: (21.5, 97.7) | Orient: 1.71 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 214.7 | Colliding: False | NearestObstacle: 70.8
Step 81 | Time: 1.350s | Pos: (649.7, 455.1) | Vel: (21.3, 97.7) | Orient: 1.74 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 213.2 | Colliding: False | NearestObstacle: 70.9
Step 82 | Time: 1.367s | Pos: (650.1, 456.7) | Vel: (21.0, 97.8) | Orient: 1.78 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 211.8 | Colliding: False | NearestObstacle: 70.9
Step 83 | Time: 1.383s | Pos: (650.4, 458.3) | Vel: (20.6, 97.9) | Orient: 1.81 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 210.3 | Colliding: False | NearestObstacle: 71.0
Step 84 | Time: 1.400s | Pos: (650.8, 460.0) | Vel: (20.1, 98.0) | Orient: 1.84 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 208.9 | Colliding: False | NearestObstacle: 71.1
Step 85 | Time: 1.417s | Pos: (651.1, 461.6) | Vel: (19.6, 98.1) | Orient: 1.88 rad | AngVel: 1.89 | Speed: 100.0 | DistToTarget: 207.4 | Colliding: False | NearestObstacle: 71.2
Step 86 | Time: 1.433s | Pos: (651.4, 463.2) | Vel: (19.0, 98.2) | Orient: 1.90 rad | AngVel: 1.36 | Speed: 100.0 | DistToTarget: 206.0 | Colliding: False | NearestObstacle: 71.4
