Step 66 | Time: 1.100s | Pos: (466.9, 394.4) | Vel: (-84.8, 195.4) | Orient: 1.26 rad | AngVel: -0.80 | Speed: 213.0 | DistToTarget: 172.9 | Colliding: False | NearestObstacle: 166.5
Step 67 | Time: 1.117s | Pos: (465.5, 397.7) | Vel: (-80.6, 198.2) | Orient: 1.25 rad | AngVel: -0.80 | Speed: 213.9 | DistToTarget: 170.1 | Colliding: False | NearestObstacle: 166.1
Step 68 | Time: 1.133s | Pos: (464.3, 401.0) | Vel: (-76.5, 200.8) | Orient: 1.23 rad | AngVel: -0.81 | Speed: 214.9 | DistToTarget: 167.4 | Colliding: False | NearestObstacle: 165.7
Step 69 | Time: 1.150s | Pos: (463.1, 404.4) | Vel: (-72.4, 203.4) | Orient: 1.22 rad | AngVel: -0.82 | Speed: 215.9 | DistToTarget: 164.6 | Colliding: False | NearestObstacle: 165.2
Step 70 | Time: 1.167s | Pos: (461.9, 407.8) | Vel: (-68.3, 205.8) | Orient: 1.21 rad | AngVel: -0.83 | Speed: 216.9 | DistToTarget: 161.8 | Colliding: False | NearestObstacle: 164.8
Step 71 | Time: 1.183s | Pos: (460.8, 411.3) | Vel: (-64.3, 208.2) | Orient: 1.19 rad | AngVel: -0.84 | Speed: 217.9 | DistToTarget: 159.0 | Colliding: False | NearestObstacle: 164.3
Step 72 | Time: 1.200s | Pos: (459.8, 414.8) | Vel: (-60.4, 210.5) | Orient: 1.18 rad | AngVel: -0.86 | Speed: 219.0 | DistToTarget: 156.1 | Colliding: False | NearestObstacle: 163.9
Step 73 | Time: 1.217s | Pos: (458.9, 418.4) | Vel: (-56.5, 212.7) | Orient: 1.16 rad | AngVel: -0.87 | Speed: 220.0 | DistToTarget: 153.2 | Colliding: False | NearestObstacle: 163.4
Step 74 | Time: 1.233s | Pos: (458.0, 421.9) | Vel: (-52.6, 214.7) | Orient: 1.15 rad | AngVel: -0.88 | Speed: 221.1 | DistToTarget: 150.3 | Colliding: False | NearestObstacle: 163.0
Step 75 | Time: 1.250s | Pos: (457.2, 425.5) | Vel: (-48.8, 216.7) | Orient: 1.13 rad | AngVel: -0.90 | Speed: 222.2 | DistToTarget: 147.3 | Colliding: False | NearestObstacle: 162.5
Step 76 | Time: 1.267s | Pos: (456.5, 429.2) | Vel: (-45.0, 218.7) | Orient: 1.12 rad | AngVel: -0.92 | Speed: 223.3 | DistToTarget: 144.4 | Colliding: False | NearestObstacle: 162.0
Step 77 | Time: 1.283s | Pos: (455.8, 432.9) | Vel: (-41.3, 220.5) | Orient: 1.10 rad | AngVel: -0.94 | Speed: 224.3 | DistToTarget: 141.4 | Colliding: False | NearestObstacle: 161.6
Step 78 | Time: 1.300s | Pos: (455.1, 436.6) | Vel: (-37.6, 222.2) | Orient: 1.09 rad | AngVel: -0.96 | Speed: 225.4 | DistToTarget: 138.4 | Colliding: False | NearestObstacle: 161.1
Step 79 | Time: 1.317s | Pos: (454.6, 440.3) | Vel: (-33.9, 223.9) | Orient: 1.07 rad | AngVel: -0.99 | Speed: 226.4 | DistToTarget: 135.4 | Colliding: False | NearestObstacle: 160.7
Step 80 | Time: 1.333s | Pos: (454.1, 444.1) | Vel: (-30.3, 225.4) | Orient: 1.05 rad | AngVel: -1.01 | Speed: 227.5 | DistToTarget: 132.4 | Colliding: False | NearestObstacle: 160.3
Step 81 | Time: 1.350s | Pos: (453.6, 447.8) | Vel: (-26.6, 226.9) | Orient: 1.03 rad | AngVel: -1.04 | Speed: 228.5 | DistToTarget: 129.3 | Colliding: False | NearestObstacle: 159.9
Step 82 | Time: 1.367s | Pos: (453.2, 451.6) | Vel: (-23.0, 228.3) | Orient: 1.02 rad | AngVel: -1.07 | Speed: 229.4 | DistToTarget: 126.3 | Colliding: False | NearestObstacle: 159.5
Step 83 | Time: 1.383s | Pos: (452.9, 455.5) | Vel: (-19.3, 229.5) | Orient: 1.00 rad | AngVel: -1.11 | Speed: 230.3 | DistToTarget: 123.2 | Colliding: False | NearestObstacle: 159.1
Step 84 | Time: 1.400s | Pos: (452.7, 459.3) | Vel: (-15.6, 230.7) | Orient: 0.98 rad | AngVel: -1.14 | Speed: 231.2 | DistToTarget: 120.1 | Colliding: False | NearestObstacle: 158.7
Step 85 | Time: 1.417s | Pos: (452.5, 463.2) | Vel: (-11.9, 231.8) | Orient: 0.96 rad | AngVel: -1.18 | Speed: 232.1 | DistToTarget: 117.1 | Colliding: False | NearestObstacle: 158.4
Step 86 | Time: 1.433s | Pos: (452.3, 467.1) | Vel: (-8.1, 232.7) | Orient: 0.94 rad | AngVel: -1.22 | Speed: 232.8 | DistToTarget: 114.0 | Colliding: False | NearestObstacle: 158.0
Step 87 | Time: 1.450s | Pos: (452.3, 470.9) | Vel: (-4.3, 233.5) | Orient: 0.92 rad | AngVel: -1.27 | Speed: 233.5 | DistToTarget: 110.9 | Colliding: False | NearestObstacle: 157.7
Step 88 | Time: 1.467s | Pos: (452.3, 474.9) | Vel: (-0.5, 234.2) | Orient: 0.90 rad | AngVel: -1.32 | Speed: 234.2 | DistToTarget: 107.9 | Colliding: False | NearestObstacle: 157.4
Step 89 | Time: 1.483s | Pos: (452.3, 478.8) | Vel: (3.5, 234.7) | Orient: 0.87 rad | AngVel: -1.37 | Speed: 234.7 | DistToTarget: 104.8 | Colliding: False | NearestObstacle: 157.1
Step 90 | Time: 1.500s | Pos: (452.4, 482.7) | Vel: (7.5, 235.1) | Orient: 0.85 rad | AngVel: -1.42 | Speed: 235.2 | DistToTarget: 101.8 | Colliding: False | NearestObstacle: 156.9
Step 91 | Time: 1.517s | Pos: (452.6, 486.6) | Vel: (11.7, 235.3) | Orient: 0.83 rad | AngVel: -1.48 | Speed: 235.6 | DistToTarget: 98.7 | Colliding: False | NearestObstacle: 156.6
Step 92 | Time: 1.533s | Pos: (452.9, 490.5) | Vel: (15.9, 235.3) | Orient: 0.80 rad | AngVel: -1.54 | Speed: 235.8 | DistToTarget: 95.7 | Colliding: False | NearestObstacle: 156.4
Step 93 | Time: 1.550s | Pos: (453.2, 494.4) | Vel: (20.2, 235.1) | Orient: 0.77 rad | AngVel: -1.60 | Speed: 236.0 | DistToTarget: 92.7 | Colliding: False | NearestObstacle: 156.1
Step 94 | Time: 1.567s | Pos: (453.6, 498.4) | Vel: (24.7, 234.7) | Orient: 0.74 rad | AngVel: -1.67 | Speed: 236.0 | DistToTarget: 89.7 | Colliding: False | NearestObstacle: 155.9
Step 95 | Time: 1.583s | Pos: (454.1, 502.3) | Vel: (29.3, 234.1) | Orient: 0.72 rad | AngVel: -1.75 | Speed: 235.9 | DistToTarget: 86.8 | Colliding: False | NearestObstacle: 155.7
Step 96 | Time: 1.600s | Pos: (454.7, 506.1) | Vel: (34.0, 233.2) | Orient: 0.69 rad | AngVel: -1.83 | Speed: 235.7 | DistToTarget: 83.8 | Colliding: False | NearestObstacle: 155.5
Step 97 | Time: 1.617s | Pos: (455.3, 510.0) | Vel: (38.8, 232.1) | Orient: 0.65 rad | AngVel: -1.91 | Speed: 235.3 | DistToTarget: 81.0 | Colliding: False | NearestObstacle: 155.3
Step 98 | Time: 1.633s | Pos: (456.1, 513.9) | Vel: (43.7, 230.6) | Orient: 0.62 rad | AngVel: -2.00 | Speed: 234.7 | DistToTarget: 78.1 | Colliding: False | NearestObstacle: 155.1
Step 99 | Time: 1.650s | Pos: (456.9, 517.7) | Vel: (48.8, 228.9) | Orient: 0.59 rad | AngVel: -2.09 | Speed: 234.0 | DistToTarget: 75.3 | Colliding: False | NearestObstacle: 155.0
Step 100 | Time: 1.667s | Pos: (457.8, 521.4) | Vel: (53.9, 226.8) | Orient: 0.55 rad | AngVel: -2.19 | Speed: 233.1 | DistToTarget: 72.5 | Colliding: False | NearestObstacle: 154.8
Step 101 | Time: 1.683s | Pos: (458.8, 525.2) | Vel: (59.2, 224.3) | Orient: 0.51 rad | AngVel: -2.29 | Speed: 232.0 | DistToTarget: 69.8 | Colliding: False | NearestObstacle: 154.5
Step 102 | Time: 1.700s | Pos: (459.8, 528.9) | Vel: (64.6, 221.4) | Orient: 0.47 rad | AngVel: -2.40 | Speed: 230.6 | DistToTarget: 67.1 | Colliding: False | NearestObstacle: 154.3
